WEEK,海外投資家_PREV_NET,海外投資家_CURR_NET,海外投資家_WOW_NET,海外投資家_BUY_RATIO,海外投資家_SELL_RATIO,個人_PREV_NET,個人_CURR_NET,個人_WOW_NET,個人_BUY_RATIO,個人_SELL_RATIO,法人_PREV_NET,法人_CURR_NET,法人_WOW_NET,法人_BUY_RATIO,法人_SELL_RATIO,金融機関_PREV_NET,金融機関_CURR_NET,金融機関_WOW_NET,金融機関_BUY_RATIO,金融機関_SELL_RATIO,信託銀行_PREV_NET,信託銀行_CURR_NET,信託銀行_WOW_NET,信託銀行_BUY_RATIO,信託銀行_SELL_RATIO,投資信託_PREV_NET,投資信託_CURR_NET,投資信託_WOW_NET,投資信託_BUY_RATIO,投資信託_SELL_RATIO
2025-01-01,-65723365.0,343552189.0,409275554.0,64.0,64.5,131583173.0,727749714.0,596166541.0,29.8,27.6,-5273151.0,-365521091.0,-360247940.0,5.7,7.5,29490729.0,-596728803.0,-626219532.0,1.5,4.1,31308825.0,-531876103.0,-563184928.0,1.3,3.6,-43440078.0,-116178102.0,-72738024.0,1.6,2.2
2025-01-02,343552189.0,-4618496.0,-348170685.0,66.6,68.9,727749714.0,451331092.0,-276418622.0,27.0,25.3,-365521091.0,133363017.0,498884108.0,6.0,5.4,-596728803.0,-177224064.0,419504739.0,1.7,2.8,-531876103.0,-130026501.0,401849602.0,1.4,2.2,-116178102.0,89809112.0,205987214.0,1.8,1.3
2025-01-03,-4618496.0,391106701.0,395725197.0,64.8,63.1,451331092.0,-458643678.0,-909974770.0,29.7,31.9,133363017.0,100912993.0,-32450024.0,5.1,4.6,-177224064.0,-95358320.0,81865744.0,1.4,1.8,-130026501.0,-30936383.0,99090118.0,1.2,1.4,89809112.0,-31236160.0,-121045272.0,1.3,1.4
2025-01-04,391106701.0,-313361726.0,-704468427.0,63.4,64.1,-458643678.0,142436226.0,601079904.0,29.8,29.0,100912993.0,-15793185.0,-116706178.0,6.4,6.4,-95358320.0,-138960451.0,-43602131.0,2.2,2.8,-30936383.0,-94014531.0,-63078148.0,2.0,2.4,-31236160.0,-54858315.0,-23622155.0,2.0,2.2
2025-02-01,-313361726.0,-265752802.0,47608924.0,64.7,67.1,142436226.0,489228603.0,346792377.0,28.0,26.7,-15793185.0,300559497.0,316352682.0,6.7,5.7,-138960451.0,-36507099.0,102453352.0,2.4,2.6,-94014531.0,63714603.0,157729134.0,2.2,2.0,-54858315.0,26784917.0,81643232.0,1.8,1.7
2025-02-02,-265752802.0,96432842.0,362185644.0,66.4,66.0,489228603.0,-100118088.0,-589346691.0,27.8,28.3,300559497.0,18016039.0,-282543458.0,5.3,5.2,-36507099.0,-146609245.0,-110102146.0,1.3,2.0,63714603.0,-68096998.0,-131811601.0,1.2,1.5,26784917.0,-7887516.0,-34672433.0,1.5,1.5
2025-02-03,96432842.0,-163238045.0,-259670887.0,63.6,64.6,-100118088.0,175108933.0,275227021.0,29.3,28.8,18016039.0,143901152.0,125885113.0,6.7,6.1,-146609245.0,-116483510.0,30125735.0,1.7,2.2,-68096998.0,-33992054.0,34104944.0,1.5,1.7,-7887516.0,49863879.0,57751395.0,2.3,2.1
2025-02-04,-163238045.0,-607154141.0,-443916096.0,66.8,69.9,175108933.0,518192386.0,343083453.0,25.1,22.9,143901152.0,155232950.0,11331798.0,7.6,6.9,-116483510.0,-68185428.0,48298082.0,2.8,3.1,-33992054.0,-39313292.0,-5321238.0,2.5,2.7,49863879.0,5093246.0,-44770633.0,2.3,2.3
2025-03-01,-607154141.0,-101580863.0,505573278.0,64.4,65.5,518192386.0,-431929122.0,-950121508.0,25.9,27.9,155232950.0,830842591.0,675609641.0,9.2,6.1,-68185428.0,345005392.0,413190820.0,3.5,2.2,-39313292.0,334256326.0,373569618.0,3.1,1.8,5093246.0,257369999.0,252276753.0,3.1,2.1
2025-03-02,-101580863.0,-808595250.0,-707014387.0,68.3,69.1,-431929122.0,-130907400.0,301021722.0,25.6,25.2,830842591.0,28039689.0,-802802902.0,5.5,5.2,345005392.0,14488427.0,-330516965.0,2.1,1.9,334256326.0,55567931.0,-278688395.0,1.7,1.4,257369999.0,-83392185.0,-340762184.0,1.3,1.6
2025-03-03,-808595250.0,261144507.0,1069739757.0,66.5,64.0,-130907400.0,-472934778.0,-342027378.0,26.9,28.6,28039689.0,-188279522.0,-216319211.0,6.0,6.7,14488427.0,-92968668.0,-107457095.0,2.0,2.4,55567931.0,-75582848.0,-131150779.0,1.5,1.9,-83392185.0,-128545708.0,-45153523.0,1.3,1.9
2025-03-04,261144507.0,-841689022.0,-1102833529.0,64.6,64.3,-472934778.0,478269233.0,951204011.0,30.4,26.5,-188279522.0,-1046396832.0,-858117310.0,4.5,8.8,-92968668.0,-876371001.0,-783402333.0,1.2,4.9,-75582848.0,-791712320.0,-716129472.0,1.0,4.4,-128545708.0,-182237565.0,-53691857.0,1.8,2.5
2025-04-01,-841689022.0,601126001.0,1442815023.0,67.7,69.8,478269233.0,720930299.0,242661066.0,24.6,23.5,-1046396832.0,392687672.0,1439084504.0,7.3,6.4,-876371001.0,-174423949.0,701947052.0,2.4,3.2,-791712320.0,-194192929.0,597519391.0,2.1,3.0,-182237565.0,249911690.0,432149255.0,2.9,2.2
2025-04-02,601126001.0,158228771.0,-442897230.0,70.4,71.5,720930299.0,-117711658.0,-838641957.0,22.9,23.8,392687672.0,591879614.0,199191942.0,6.2,4.3,-174423949.0,147634728.0,322058677.0,2.6,2.2,-194192929.0,173047969.0,367240898.0,2.3,1.8,249911690.0,69121804.0,-180789886.0,1.5,1.3
2025-04-03,158228771.0,150379338.0,-7849433.0,65.3,65.3,-117711658.0,-230535497.0,-112823839.0,28.3,29.8,591879614.0,316599601.0,-275280013.0,6.0,4.5,147634728.0,60449421.0,-87185307.0,2.1,1.8,173047969.0,91976213.0,-81071756.0,1.9,1.5,69121804.0,71417828.0,2296024.0,1.9,1.6
2025-04-04,150379338.0,288137076.0,137757738.0,65.4,63.3,-230535497.0,-354932670.0,-124397173.0,28.1,29.5,316599601.0,-145479546.0,-462079147.0,6.0,6.7,60449421.0,-198292543.0,-258741964.0,2.6,3.5,91976213.0,-108521855.0,-200498068.0,2.4,2.9,71417828.0,-56782879.0,-128200707.0,1.6,1.8
2025-05-01,288137076.0,394609056.0,106471980.0,66.5,65.4,-354932670.0,-167337048.0,187595622.0,25.6,26.7,-145479546.0,21290410.0,166769956.0,7.4,7.4,-198292543.0,-286274987.0,-87982444.0,2.6,4.0,-108521855.0,-229960539.0,-121438684.0,2.5,3.6,-56782879.0,177613281.0,234396160.0,3.2,2.4
2025-05-02,394609056.0,357010332.0,-37598724.0,70.6,67.5,-167337048.0,-357635278.0,-190298230.0,24.5,26.3,21290410.0,-205401277.0,-226691687.0,4.5,5.7,-286274987.0,-386907464.0,-100632477.0,1.2,3.6,-229960539.0,-268002308.0,-38041769.0,1.1,2.7,177613281.0,31975051.0,-145638230.0,1.4,1.2
2025-05-03,357010332.0,623278926.0,266268594.0,66.9,65.0,-357635278.0,-257976300.0,99658978.0,26.4,27.4,-205401277.0,-218705436.0,-13304159.0,6.3,7.1,-386907464.0,-479281080.0,-92373616.0,2.0,3.7,-268002308.0,-289316543.0,-21314235.0,1.8,2.9,31975051.0,8597785.0,-23377266.0,1.7,1.7
2025-05-04,623278926.0,285023033.0,-338255893.0,63.2,64.4,-257976300.0,-55060613.0,202915687.0,28.2,29.6,-218705436.0,666381392.0,885086828.0,8.3,5.6,-479281080.0,-136221920.0,343059160.0,2.2,2.9,-289316543.0,-35978914.0,253337629.0,2.0,2.2,8597785.0,73804459.0,65206674.0,1.9,1.6
2025-05-05,285023033.0,616572817.0,331549784.0,66.2,63.8,-55060613.0,-356780428.0,-301719815.0,25.8,27.2,666381392.0,-233765613.0,-900147005.0,7.6,8.5,-136221920.0,-230441059.0,-94219139.0,3.5,4.4,-35978914.0,-98149711.0,-62170797.0,3.2,3.5,73804459.0,-264107351.0,-337911810.0,2.0,3.0
2025-06-01,616572817.0,398591776.0,-217981041.0,63.3,62.6,-356780428.0,161849133.0,518629561.0,29.1,28.8,-233765613.0,-185712238.0,48053375.0,7.1,8.1,-230441059.0,-533610928.0,-303169869.0,2.5,4.9,-98149711.0,-473836456.0,-375686745.0,2.1,4.3,-264107351.0,-21117347.0,242990004.0,2.0,2.1
2025-06-02,398591776.0,99704954.0,-298886822.0,63.7,64.1,161849133.0,-4009916.0,-165859049.0,30.0,30.4,-185712238.0,213313630.0,399025868.0,5.9,5.0,-533610928.0,-136112097.0,397498831.0,1.8,2.4,-473836456.0,-25169482.0,448666974.0,1.5,1.7,-21117347.0,-2647681.0,18469666.0,1.5,1.5
2025-06-03,99704954.0,88459899.0,-11245055.0,64.0,63.8,-4009916.0,-232631240.0,-228621324.0,28.2,29.1,213313630.0,190126694.0,-23186936.0,7.4,6.7,-136112097.0,-179985814.0,-43873717.0,2.5,3.2,-25169482.0,-107371713.0,-82202231.0,2.3,2.7,-2647681.0,61396501.0,64044182.0,2.5,2.3
2025-06-04,88459899.0,339822204.0,251362305.0,63.1,61.5,-232631240.0,-591709901.0,-359078661.0,30.1,32.3,190126694.0,129089673.0,-61037021.0,6.3,5.8,-179985814.0,-89687490.0,90298324.0,2.3,2.7,-107371713.0,-47324832.0,60046881.0,2.0,2.2,61396501.0,120435716.0,59039215.0,2.3,1.8
2025-07-01,339822204.0,545637476.0,205815272.0,62.6,61.9,-591709901.0,-60326993.0,531382908.0,29.8,30.7,129089673.0,98900453.0,-30189220.0,7.2,7.0,-89687490.0,-111198.0,89576292.0,3.0,3.1,-47324832.0,84804596.0,132129428.0,2.8,2.6,120435716.0,-156189504.0,-276625220.0,2.1,2.7
2025-07-02,545637476.0,403085131.0,-142552345.0,64.8,63.4,-60326993.0,-66547033.0,-6220040.0,28.6,29.0,98900453.0,-234311260.0,-333211713.0,6.1,7.2,-111198.0,-68411668.0,-68300470.0,2.0,2.3,84804596.0,-35303818.0,-120108414.0,1.6,1.8,-156189504.0,-442782603.0,-286593099.0,1.7,3.6
2025-07-03,403085131.0,187508315.0,-215576816.0,62.3,62.3,-66547033.0,-87985482.0,-21438449.0,31.5,32.3,-234311260.0,201847346.0,436158606.0,5.8,5.0,-68411668.0,-85752873.0,-17341205.0,1.9,2.3,-35303818.0,10790858.0,46094676.0,1.7,1.6,-442782603.0,58474583.0,501257186.0,1.6,1.3
2025-07-04,187508315.0,602395039.0,414886724.0,66.8,62.6,-87985482.0,-1219052113.0,-1131066631.0,26.6,31.1,201847346.0,64859961.0,-136987385.0,6.1,5.7,-85752873.0,-39668234.0,46084639.0,2.0,2.1,10790858.0,38584571.0,27793713.0,1.8,1.6,58474583.0,-22253055.0,-80727638.0,1.7,1.8
