WEEK,STATUS
2025-01-01,PASS
2025-01-02,PASS
2025-01-03,PASS
2025-01-04,PASS
2025-02-01,PASS
2025-02-02,PASS
2025-02-03,PASS
2025-02-04,PASS
2025-03-01,PASS
2025-03-02,PASS
2025-03-03,PASS
2025-03-04,PASS
2025-04-01,PASS
2025-04-02,PASS
2025-04-03,PASS
2025-04-04,PASS
2025-05-01,PASS
2025-05-02,PASS
2025-05-03,PASS
2025-05-04,PASS
2025-05-05,PASS
2025-06-01,PASS
2025-06-02,PASS
2025-06-03,PASS
2025-06-04,PASS
2025-07-01,PASS
2025-07-02,PASS
2025-07-03,PASS
2025-07-04,PASS
2025-07-05,PASS
2025-08-01,PASS
2025-08-02,PASS
2025-08-03,PASS
2025-08-04,PASS
2025-09-01,PASS
2025-09-02,PASS
2025-09-03,PASS
2025-09-04,PASS
2025-10-01,PASS
2025-10-02,PASS
2025-10-03,PASS
2025-10-04,PASS
2025-10-05,PASS
2025-11-01,PASS
2025-11-02,PASS
2025-11-03,PASS
2025-11-04,PASS
2025-12-01,PASS
2025-12-02,PASS
2025-12-03,PASS
2025-12-04,PASS
2025-12-05,PASS
