PERIOD_INDEX,SOURCE_WEEK_IDENTIFIER,OBSERVATION_WEEK,PERIOD_KEY,OBSERVATION_START,OBSERVATION_END,N225_STATUS,N225_DAY_BARS,N225_NIGHT_BARS
1,2025-01-01,2025-01-W1,2025-01-06__2025-01-10,2025-01-06,2025-01-10,AVAILABLE,2105,3900
2,2025-01-02,2025-01-W2,2025-01-14__2025-01-17,2025-01-14,2025-01-17,AVAILABLE,1684,3120
3,2025-01-03,2025-01-W3,2025-01-20__2025-01-24,2025-01-20,2025-01-24,AVAILABLE,2105,3900
4,2025-01-04,2025-01-W4,2025-01-27__2025-01-31,2025-01-27,2025-01-31,AVAILABLE,2105,3900
5,2025-02-01,2025-02-W1,2025-02-03__2025-02-07,2025-02-03,2025-02-07,AVAILABLE,2105,3900
6,2025-02-02,2025-02-W2,2025-02-10__2025-02-14,2025-02-10,2025-02-14,AVAILABLE,2105,3900
7,2025-02-03,2025-02-W3,2025-02-17__2025-02-21,2025-02-17,2025-02-21,AVAILABLE,2105,3900
8,2025-02-04,2025-02-W4,2025-02-25__2025-02-28,2025-02-25,2025-02-28,AVAILABLE,1684,3120
9,2025-03-01,2025-03-W1,2025-03-03__2025-03-07,2025-03-03,2025-03-07,AVAILABLE,2105,3900
10,2025-03-02,2025-03-W2,2025-03-10__2025-03-14,2025-03-10,2025-03-14,AVAILABLE,2105,3900
11,2025-03-03,2025-03-W3,2025-03-17__2025-03-21,2025-03-17,2025-03-21,AVAILABLE,2105,3900
12,2025-03-04,2025-03-W4,2025-03-24__2025-03-28,2025-03-24,2025-03-28,AVAILABLE,2105,3900
13,2025-04-01,2025-04-W1,2025-03-31__2025-04-04,2025-03-31,2025-04-04,AVAILABLE,2105,3900
14,2025-04-02,2025-04-W2,2025-04-07__2025-04-11,2025-04-07,2025-04-11,AVAILABLE,2105,3900
15,2025-04-03,2025-04-W3,2025-04-14__2025-04-18,2025-04-14,2025-04-18,AVAILABLE,2105,3900
16,2025-04-04,2025-04-W4,2025-04-21__2025-04-25,2025-04-21,2025-04-25,AVAILABLE,2105,3900
17,2025-05-01,2025-05-W1,2025-04-28__2025-05-02,2025-04-28,2025-05-02,AVAILABLE,2105,3900
18,2025-05-02,2025-05-W2,2025-05-07__2025-05-09,2025-05-07,2025-05-09,AVAILABLE,1263,2340
19,2025-05-03,2025-05-W3,2025-05-12__2025-05-16,2025-05-12,2025-05-16,AVAILABLE,2105,3900
20,2025-05-04,2025-05-W4,2025-05-19__2025-05-23,2025-05-19,2025-05-23,AVAILABLE,2105,3900
21,2025-05-05,2025-05-W5,2025-05-26__2025-05-30,2025-05-26,2025-05-30,AVAILABLE,2105,3900
