FILE,STATUS,OBSERVATION_START,OBSERVATION_END,SOURCE_TEXT,ERROR
stock_val_1_250101.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250102.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250103.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250104.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250201.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250202.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250203.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250204.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250301.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250302.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250303.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250304.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250401.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250402.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250403.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250404.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250501.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250502.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250503.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250504.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250505.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250601.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250602.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250603.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
stock_val_1_250604.xls,FAIL,,,,error('unpack_from requires a buffer of at least 512 bytes for unpacking 4 bytes at offset 508 (actual buffer size is 0)')
