PERIOD_KEY,OBSERVATION_WEEK,OBSERVATION_START,OBSERVATION_END,SOURCE_FILE_COUNT,ROWS,STATUS,ERROR
2025-01-06__2025-01-10,2025-01-W1,2025-01-06,2025-01-10,1,48,PASS,
2025-01-14__2025-01-17,2025-01-W2,2025-01-14,2025-01-17,1,48,PASS,
2025-01-20__2025-01-24,2025-01-W3,2025-01-20,2025-01-24,1,48,PASS,
2025-01-27__2025-01-31,2025-01-W4,2025-01-27,2025-01-31,1,48,PASS,
2025-02-03__2025-02-07,2025-02-W1,2025-02-03,2025-02-07,1,48,PASS,
2025-02-10__2025-02-14,2025-02-W2,2025-02-10,2025-02-14,1,48,PASS,
2025-02-17__2025-02-21,2025-02-W3,2025-02-17,2025-02-21,1,48,PASS,
2025-02-25__2025-02-28,2025-02-W4,2025-02-25,2025-02-28,1,48,PASS,
2025-03-03__2025-03-07,2025-03-W1,2025-03-03,2025-03-07,1,48,PASS,
2025-03-10__2025-03-14,2025-03-W2,2025-03-10,2025-03-14,1,48,PASS,
2025-03-17__2025-03-21,2025-03-W3,2025-03-17,2025-03-21,1,48,PASS,
2025-03-24__2025-03-28,2025-03-W4,2025-03-24,2025-03-28,1,48,PASS,
2025-03-31__2025-04-04,2025-04-W1,2025-03-31,2025-04-04,1,48,PASS,
2025-04-07__2025-04-11,2025-04-W2,2025-04-07,2025-04-11,1,48,PASS,
2025-04-14__2025-04-18,2025-04-W3,2025-04-14,2025-04-18,1,48,PASS,
2025-04-21__2025-04-25,2025-04-W4,2025-04-21,2025-04-25,1,48,PASS,
2025-04-28__2025-05-02,2025-05-W1,2025-04-28,2025-05-02,1,48,PASS,
2025-05-07__2025-05-09,2025-05-W2,2025-05-07,2025-05-09,1,48,PASS,
2025-05-12__2025-05-16,2025-05-W3,2025-05-12,2025-05-16,1,48,PASS,
2025-05-19__2025-05-23,2025-05-W4,2025-05-19,2025-05-23,1,48,PASS,
2025-05-26__2025-05-30,2025-05-W5,2025-05-26,2025-05-30,1,48,PASS,
2025-06-02__2025-06-06,2025-06-W1,2025-06-02,2025-06-06,1,48,PASS,
2025-06-09__2025-06-13,2025-06-W2,2025-06-09,2025-06-13,1,48,PASS,
2025-06-16__2025-06-20,2025-06-W3,2025-06-16,2025-06-20,1,48,PASS,
2025-06-23__2025-06-27,2025-06-W4,2025-06-23,2025-06-27,1,48,PASS,
2025-06-30__2025-07-04,2025-07-W1,2025-06-30,2025-07-04,1,48,PASS,
2025-07-07__2025-07-11,2025-07-W2,2025-07-07,2025-07-11,1,48,PASS,
2025-07-14__2025-07-18,2025-07-W3,2025-07-14,2025-07-18,1,48,PASS,
2025-07-22__2025-07-25,2025-07-W4,2025-07-22,2025-07-25,1,48,PASS,
2025-07-28__2025-08-01,2025-07-W5,2025-07-28,2025-08-01,1,48,PASS,
2025-08-04__2025-08-08,2025-08-W1,2025-08-04,2025-08-08,1,48,PASS,
2025-08-12__2025-08-15,2025-08-W2,2025-08-12,2025-08-15,1,48,PASS,
2025-08-18__2025-08-22,2025-08-W3,2025-08-18,2025-08-22,1,48,PASS,
2025-08-25__2025-08-29,2025-08-W4,2025-08-25,2025-08-29,1,48,PASS,
2025-09-01__2025-09-05,2025-09-W1,2025-09-01,2025-09-05,1,48,PASS,
2025-09-08__2025-09-12,2025-09-W2,2025-09-08,2025-09-12,1,48,PASS,
2025-09-16__2025-09-19,2025-09-W3,2025-09-16,2025-09-19,1,48,PASS,
2025-09-22__2025-09-26,2025-09-W4,2025-09-22,2025-09-26,1,48,PASS,
2025-09-29__2025-10-03,2025-10-W1,2025-09-29,2025-10-03,1,48,PASS,
2025-10-06__2025-10-10,2025-10-W2,2025-10-06,2025-10-10,1,48,PASS,
2025-10-14__2025-10-17,2025-10-W3,2025-10-14,2025-10-17,1,48,PASS,
2025-10-20__2025-10-24,2025-10-W4,2025-10-20,2025-10-24,1,48,PASS,
2025-10-27__2025-10-31,2025-10-W5,2025-10-27,2025-10-31,1,48,PASS,
2025-11-04__2025-11-07,2025-11-W1,2025-11-04,2025-11-07,1,48,PASS,
2025-11-10__2025-11-14,2025-11-W2,2025-11-10,2025-11-14,1,48,PASS,
2025-11-17__2025-11-21,2025-11-W3,2025-11-17,2025-11-21,1,48,PASS,
2025-11-25__2025-11-28,2025-11-W4,2025-11-25,2025-11-28,1,48,PASS,
2025-12-01__2025-12-05,2025-12-W1,2025-12-01,2025-12-05,1,48,PASS,
2025-12-08__2025-12-12,2025-12-W2,2025-12-08,2025-12-12,1,48,PASS,
2025-12-15__2025-12-19,2025-12-W3,2025-12-15,2025-12-19,1,48,PASS,
2025-12-22__2025-12-26,2025-12-W4,2025-12-22,2025-12-26,1,48,PASS,
2025-12-29__2025-12-30,2025-12-W5,2025-12-29,2025-12-30,1,48,PASS,
