PERIOD_INDEX,PERIOD_KEY,OBSERVATION_START,OBSERVATION_END,N225_DATA_STATUS,N225_SEMANTIC_STATUS,PIT_STATUS,ROW_ERROR_COUNT,ROW_ERRORS
1,2025-01-06__2025-01-10,2025-01-06,2025-01-10,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
2,2025-01-14__2025-01-17,2025-01-14,2025-01-17,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
3,2025-01-20__2025-01-24,2025-01-20,2025-01-24,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
4,2025-01-27__2025-01-31,2025-01-27,2025-01-31,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
5,2025-02-03__2025-02-07,2025-02-03,2025-02-07,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
6,2025-02-10__2025-02-14,2025-02-10,2025-02-14,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
7,2025-02-17__2025-02-21,2025-02-17,2025-02-21,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
8,2025-02-25__2025-02-28,2025-02-25,2025-02-28,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
9,2025-03-03__2025-03-07,2025-03-03,2025-03-07,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
10,2025-03-10__2025-03-14,2025-03-10,2025-03-14,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
11,2025-03-17__2025-03-21,2025-03-17,2025-03-21,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
12,2025-03-24__2025-03-28,2025-03-24,2025-03-28,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
13,2025-03-31__2025-04-04,2025-03-31,2025-04-04,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
14,2025-04-07__2025-04-11,2025-04-07,2025-04-11,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
15,2025-04-14__2025-04-18,2025-04-14,2025-04-18,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
16,2025-04-21__2025-04-25,2025-04-21,2025-04-25,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
17,2025-04-28__2025-05-02,2025-04-28,2025-05-02,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
18,2025-05-07__2025-05-09,2025-05-07,2025-05-09,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
19,2025-05-12__2025-05-16,2025-05-12,2025-05-16,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
20,2025-05-19__2025-05-23,2025-05-19,2025-05-23,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
