PERIOD_INDEX,OBSERVATION_WEEK,OBSERVATION_START,OBSERVATION_END,PERIOD_KEY,SOURCE_FILE,SOURCE_FILE_COUNT,SOURCE_ROWS
1,2025-01-W1,2025-01-06,2025-01-10,2025-01-06__2025-01-10,stock_val_1_250101.xls,1,48
2,2025-01-W2,2025-01-14,2025-01-17,2025-01-14__2025-01-17,stock_val_1_250102.xls,1,48
3,2025-01-W3,2025-01-20,2025-01-24,2025-01-20__2025-01-24,stock_val_1_250103.xls,1,48
4,2025-01-W4,2025-01-27,2025-01-31,2025-01-27__2025-01-31,stock_val_1_250104.xls,1,48
5,2025-02-W1,2025-02-03,2025-02-07,2025-02-03__2025-02-07,stock_val_1_250201.xls,1,48
6,2025-02-W2,2025-02-10,2025-02-14,2025-02-10__2025-02-14,stock_val_1_250202.xls,1,48
7,2025-02-W3,2025-02-17,2025-02-21,2025-02-17__2025-02-21,stock_val_1_250203.xls,1,48
8,2025-02-W4,2025-02-25,2025-02-28,2025-02-25__2025-02-28,stock_val_1_250204.xls,1,48
9,2025-03-W1,2025-03-03,2025-03-07,2025-03-03__2025-03-07,stock_val_1_250301.xls,1,48
10,2025-03-W2,2025-03-10,2025-03-14,2025-03-10__2025-03-14,stock_val_1_250302.xls,1,48
11,2025-03-W3,2025-03-17,2025-03-21,2025-03-17__2025-03-21,stock_val_1_250303.xls,1,48
12,2025-03-W4,2025-03-24,2025-03-28,2025-03-24__2025-03-28,stock_val_1_250304.xls,1,48
13,2025-04-W1,2025-03-31,2025-04-04,2025-03-31__2025-04-04,stock_val_1_250401.xls,1,48
14,2025-04-W2,2025-04-07,2025-04-11,2025-04-07__2025-04-11,stock_val_1_250402.xls,1,48
15,2025-04-W3,2025-04-14,2025-04-18,2025-04-14__2025-04-18,stock_val_1_250403.xls,1,48
16,2025-04-W4,2025-04-21,2025-04-25,2025-04-21__2025-04-25,stock_val_1_250404.xls,1,48
17,2025-05-W1,2025-04-28,2025-05-02,2025-04-28__2025-05-02,stock_val_1_250501.xls,1,48
18,2025-05-W2,2025-05-07,2025-05-09,2025-05-07__2025-05-09,stock_val_1_250502.xls,1,48
19,2025-05-W3,2025-05-12,2025-05-16,2025-05-12__2025-05-16,stock_val_1_250503.xls,1,48
20,2025-05-W4,2025-05-19,2025-05-23,2025-05-19__2025-05-23,stock_val_1_250504.xls,1,48
21,2025-05-W5,2025-05-26,2025-05-30,2025-05-26__2025-05-30,stock_val_1_250505.xls,1,48
22,2025-06-W1,2025-06-02,2025-06-06,2025-06-02__2025-06-06,stock_val_1_250601.xls,1,48
23,2025-06-W2,2025-06-09,2025-06-13,2025-06-09__2025-06-13,stock_val_1_250602.xls,1,48
24,2025-06-W3,2025-06-16,2025-06-20,2025-06-16__2025-06-20,stock_val_1_250603.xls,1,48
25,2025-06-W4,2025-06-23,2025-06-27,2025-06-23__2025-06-27,stock_val_1_250604.xls,1,48
26,2025-07-W1,2025-06-30,2025-07-04,2025-06-30__2025-07-04,stock_val_1_250701.xls,1,48
27,2025-07-W2,2025-07-07,2025-07-11,2025-07-07__2025-07-11,stock_val_1_250702.xls,1,48
28,2025-07-W3,2025-07-14,2025-07-18,2025-07-14__2025-07-18,stock_val_1_250703.xls,1,48
29,2025-07-W4,2025-07-22,2025-07-25,2025-07-22__2025-07-25,stock_val_1_250704.xls,1,48
30,2025-07-W5,2025-07-28,2025-08-01,2025-07-28__2025-08-01,stock_val_1_250705.xls,1,48
31,2025-08-W1,2025-08-04,2025-08-08,2025-08-04__2025-08-08,stock_val_1_250801.xls,1,48
32,2025-08-W2,2025-08-12,2025-08-15,2025-08-12__2025-08-15,stock_val_1_250802.xls,1,48
33,2025-08-W3,2025-08-18,2025-08-22,2025-08-18__2025-08-22,stock_val_1_250803.xls,1,48
34,2025-08-W4,2025-08-25,2025-08-29,2025-08-25__2025-08-29,stock_val_1_250804.xls,1,48
35,2025-09-W1,2025-09-01,2025-09-05,2025-09-01__2025-09-05,stock_val_1_250901.xls,1,48
36,2025-09-W2,2025-09-08,2025-09-12,2025-09-08__2025-09-12,stock_val_1_250902.xls,1,48
37,2025-09-W3,2025-09-16,2025-09-19,2025-09-16__2025-09-19,stock_val_1_250903.xls,1,48
