PERIOD_INDEX,OBSERVATION_WEEK,OBSERVATION_START,OBSERVATION_END,PERIOD_KEY,N225_DAY_BAR_COUNT,N225_DAY_OPEN,N225_DAY_HIGH,N225_DAY_LOW,N225_DAY_CLOSE,N225_DAY_VOLUME,N225_NIGHT_BAR_COUNT,N225_NIGHT_OPEN,N225_NIGHT_HIGH,N225_NIGHT_LOW,N225_NIGHT_CLOSE,N225_NIGHT_VOLUME,DATA_STATUS
1,2025-01-W1,2025-01-06,2025-01-10,2025-01-06__2025-01-10,2105,39660.0,40320.0,39160.0,39250.0,175369.0,3900,39470.0,40210.0,39270.0,39480.0,49412.0,DAY_DATA_AVAILABLE
2,2025-01-W2,2025-01-14,2025-01-17,2025-01-14__2025-01-17,1684,38800.0,39070.0,38070.0,38470.0,129536.0,3120,39010.0,39330.0,38230.0,38550.0,52213.0,DAY_DATA_AVAILABLE
3,2025-01-W3,2025-01-20,2025-01-24,2025-01-20__2025-01-24,2105,38770.0,40410.0,38640.0,39940.0,150687.0,3900,38780.0,39940.0,38400.0,39820.0,40901.0,DAY_DATA_AVAILABLE
4,2025-01-W4,2025-01-27,2025-01-31,2025-01-27__2025-01-31,2105,40290.0,40360.0,38890.0,39630.0,157241.0,3900,40560.0,40610.0,38660.0,39480.0,72787.0,DAY_DATA_AVAILABLE
5,2025-02-W1,2025-02-03,2025-02-07,2025-02-03__2025-02-07,2105,38610.0,39310.0,38380.0,38840.0,161418.0,3900,39570.0,39820.0,38460.0,39040.0,66017.0,DAY_DATA_AVAILABLE
6,2025-02-W2,2025-02-10,2025-02-14,2025-02-10__2025-02-14,2105,38550.0,39600.0,38540.0,39110.0,102356.0,3900,38870.0,39500.0,38350.0,39420.0,46351.0,DAY_DATA_AVAILABLE
7,2025-02-W3,2025-02-17,2025-02-21,2025-02-17__2025-02-21,2105,39150.0,39500.0,38450.0,38790.0,116950.0,3900,39200.0,39350.0,38380.0,38530.0,36679.0,DAY_DATA_AVAILABLE
8,2025-02-W4,2025-02-25,2025-02-28,2025-02-25__2025-02-28,1684,38040.0,38480.0,36840.0,37110.0,157561.0,3120,38040.0,38470.0,37580.0,38010.0,54577.0,DAY_DATA_AVAILABLE
9,2025-03-W1,2025-03-03,2025-03-07,2025-03-03__2025-03-07,2105,37680.0,37890.0,36770.0,36770.0,192710.0,3900,37330.0,38260.0,36260.0,37150.0,112342.0,DAY_DATA_AVAILABLE
10,2025-03-W2,2025-03-10,2025-03-14,2025-03-10__2025-03-14,2105,37000.0,37330.0,35980.0,36860.0,128782.0,3900,36920.0,37270.0,36110.0,36580.0,98648.0,DAY_DATA_AVAILABLE
11,2025-03-W3,2025-03-17,2025-03-21,2025-03-17__2025-03-21,2105,37270.0,37870.0,37110.0,37400.0,93939.0,3900,37230.0,37780.0,36790.0,37400.0,56262.0,DAY_DATA_AVAILABLE
12,2025-03-W4,2025-03-24,2025-03-28,2025-03-24__2025-03-28,2105,37520.0,37970.0,36900.0,37010.0,143007.0,3900,37200.0,37830.0,37100.0,37520.0,51847.0,DAY_DATA_AVAILABLE
13,2025-04-W1,2025-03-31,2025-04-04,2025-03-31__2025-04-04,2105,36090.0,36160.0,33300.0,33760.0,247085.0,3900,36410.0,36890.0,33630.0,33920.0,101170.0,DAY_DATA_AVAILABLE
14,2025-04-W2,2025-04-07,2025-04-11,2025-04-07__2025-04-11,2105,31010.0,35080.0,30650.0,33520.0,313069.0,3900,32350.0,35140.0,30790.0,33400.0,261897.0,DAY_DATA_AVAILABLE
15,2025-04-W3,2025-04-14,2025-04-18,2025-04-14__2025-04-18,2105,33980.0,34830.0,33680.0,34830.0,117036.0,3900,33040.0,34740.0,32700.0,34390.0,77947.0,DAY_DATA_AVAILABLE
