PERIOD_KEY,OBSERVATION_START,OBSERVATION_END,N225_DAY_BARS,N225_NIGHT_BARS,STATUS
2025-01-06__2025-01-10,2025-01-06,2025-01-10,2105,3900,DAY_DATA_AVAILABLE
2025-01-14__2025-01-17,2025-01-14,2025-01-17,1684,3120,DAY_DATA_AVAILABLE
2025-01-20__2025-01-24,2025-01-20,2025-01-24,2105,3900,DAY_DATA_AVAILABLE
2025-01-27__2025-01-31,2025-01-27,2025-01-31,2105,3900,DAY_DATA_AVAILABLE
2025-02-03__2025-02-07,2025-02-03,2025-02-07,2105,3900,DAY_DATA_AVAILABLE
2025-02-10__2025-02-14,2025-02-10,2025-02-14,2105,3900,DAY_DATA_AVAILABLE
2025-02-17__2025-02-21,2025-02-17,2025-02-21,2105,3900,DAY_DATA_AVAILABLE
2025-02-25__2025-02-28,2025-02-25,2025-02-28,1684,3120,DAY_DATA_AVAILABLE
2025-03-03__2025-03-07,2025-03-03,2025-03-07,2105,3900,DAY_DATA_AVAILABLE
2025-03-10__2025-03-14,2025-03-10,2025-03-14,2105,3900,DAY_DATA_AVAILABLE
2025-03-17__2025-03-21,2025-03-17,2025-03-21,2105,3900,DAY_DATA_AVAILABLE
2025-03-24__2025-03-28,2025-03-24,2025-03-28,2105,3900,DAY_DATA_AVAILABLE
2025-03-31__2025-04-04,2025-03-31,2025-04-04,2105,3900,DAY_DATA_AVAILABLE
2025-04-07__2025-04-11,2025-04-07,2025-04-11,2105,3900,DAY_DATA_AVAILABLE
2025-04-14__2025-04-18,2025-04-14,2025-04-18,2105,3900,DAY_DATA_AVAILABLE
2025-04-21__2025-04-25,2025-04-21,2025-04-25,2105,3900,DAY_DATA_AVAILABLE
2025-04-28__2025-05-02,2025-04-28,2025-05-02,2105,3900,DAY_DATA_AVAILABLE
2025-05-07__2025-05-09,2025-05-07,2025-05-09,1263,2340,DAY_DATA_AVAILABLE
2025-05-12__2025-05-16,2025-05-12,2025-05-16,2105,3900,DAY_DATA_AVAILABLE
2025-05-19__2025-05-23,2025-05-19,2025-05-23,2105,3900,DAY_DATA_AVAILABLE
2025-05-26__2025-05-30,2025-05-26,2025-05-30,2105,3900,DAY_DATA_AVAILABLE
2025-06-02__2025-06-06,2025-06-02,2025-06-06,2105,3900,DAY_DATA_AVAILABLE
2025-06-09__2025-06-13,2025-06-09,2025-06-13,2105,3900,DAY_DATA_AVAILABLE
2025-06-16__2025-06-20,2025-06-16,2025-06-20,2105,3900,DAY_DATA_AVAILABLE
2025-06-23__2025-06-27,2025-06-23,2025-06-27,2105,3900,DAY_DATA_AVAILABLE
2025-06-30__2025-07-04,2025-06-30,2025-07-04,2105,3900,DAY_DATA_AVAILABLE
2025-07-07__2025-07-11,2025-07-07,2025-07-11,2105,3900,DAY_DATA_AVAILABLE
2025-07-14__2025-07-18,2025-07-14,2025-07-18,2105,3900,DAY_DATA_AVAILABLE
2025-07-22__2025-07-25,2025-07-22,2025-07-25,1684,3120,DAY_DATA_AVAILABLE
2025-07-28__2025-08-01,2025-07-28,2025-08-01,2105,3900,DAY_DATA_AVAILABLE
2025-08-04__2025-08-08,2025-08-04,2025-08-08,2105,3900,DAY_DATA_AVAILABLE
2025-08-12__2025-08-15,2025-08-12,2025-08-15,1684,3120,DAY_DATA_AVAILABLE
2025-08-18__2025-08-22,2025-08-18,2025-08-22,2105,3900,DAY_DATA_AVAILABLE
2025-08-25__2025-08-29,2025-08-25,2025-08-29,2105,3900,DAY_DATA_AVAILABLE
2025-09-01__2025-09-05,2025-09-01,2025-09-05,2105,3900,DAY_DATA_AVAILABLE
2025-09-08__2025-09-12,2025-09-08,2025-09-12,2105,3900,DAY_DATA_AVAILABLE
2025-09-16__2025-09-19,2025-09-16,2025-09-19,1684,3120,DAY_DATA_AVAILABLE
2025-09-22__2025-09-26,2025-09-22,2025-09-26,2105,3900,DAY_DATA_AVAILABLE
2025-09-29__2025-10-03,2025-09-29,2025-10-03,842,1560,DAY_DATA_AVAILABLE
2025-10-06__2025-10-10,2025-10-06,2025-10-10,0,0,NO_DAY_DATA
2025-10-14__2025-10-17,2025-10-14,2025-10-17,0,0,NO_DAY_DATA
2025-10-20__2025-10-24,2025-10-20,2025-10-24,0,0,NO_DAY_DATA
2025-10-27__2025-10-31,2025-10-27,2025-10-31,0,0,NO_DAY_DATA
2025-11-04__2025-11-07,2025-11-04,2025-11-07,0,0,NO_DAY_DATA
2025-11-10__2025-11-14,2025-11-10,2025-11-14,0,0,NO_DAY_DATA
2025-11-17__2025-11-21,2025-11-17,2025-11-21,0,0,NO_DAY_DATA
2025-11-25__2025-11-28,2025-11-25,2025-11-28,0,0,NO_DAY_DATA
2025-12-01__2025-12-05,2025-12-01,2025-12-05,0,0,NO_DAY_DATA
2025-12-08__2025-12-12,2025-12-08,2025-12-12,0,0,NO_DAY_DATA
2025-12-15__2025-12-19,2025-12-15,2025-12-19,0,0,NO_DAY_DATA
2025-12-22__2025-12-26,2025-12-22,2025-12-26,0,0,NO_DAY_DATA
2025-12-29__2025-12-30,2025-12-29,2025-12-30,0,0,NO_DAY_DATA
