PERIOD_INDEX,海外投資家_PREV_NET,海外投資家_CURR_NET,海外投資家_WOW_NET,海外投資家_BUY_RATIO,海外投資家_SELL_RATIO,個人_PREV_NET,個人_CURR_NET,個人_WOW_NET,個人_BUY_RATIO,個人_SELL_RATIO,法人_PREV_NET,法人_CURR_NET,法人_WOW_NET,法人_BUY_RATIO,法人_SELL_RATIO,金融機関_PREV_NET,金融機関_CURR_NET,金融機関_WOW_NET,金融機関_BUY_RATIO,金融機関_SELL_RATIO,信託銀行_PREV_NET,信託銀行_CURR_NET,信託銀行_WOW_NET,信託銀行_BUY_RATIO,信託銀行_SELL_RATIO,投資信託_PREV_NET,投資信託_CURR_NET,投資信託_WOW_NET,投資信託_BUY_RATIO,投資信託_SELL_RATIO,海外投資家_ROLL4_NET,海外投資家_ROLL8_NET,海外投資家_ROLL12_NET,海外投資家_MOM4,個人_ROLL4_NET,個人_ROLL8_NET,個人_ROLL12_NET,個人_MOM4,法人_ROLL4_NET,法人_ROLL8_NET,法人_ROLL12_NET,法人_MOM4,金融機関_ROLL4_NET,金融機関_ROLL8_NET,金融機関_ROLL12_NET,金融機関_MOM4,信託銀行_ROLL4_NET,信託銀行_ROLL8_NET,信託銀行_ROLL12_NET,信託銀行_MOM4,投資信託_ROLL4_NET,投資信託_ROLL8_NET,投資信託_ROLL12_NET,投資信託_MOM4,N225_DAY_BAR_COUNT,N225_DAY_OPEN,N225_DAY_HIGH,N225_DAY_LOW,N225_DAY_CLOSE,N225_DAY_VOLUME,N225_NIGHT_BAR_COUNT,N225_NIGHT_OPEN,N225_NIGHT_HIGH,N225_NIGHT_LOW,N225_NIGHT_CLOSE,N225_NIGHT_VOLUME,TARGET_RETURN
1,-0.372794,0.677701,0.813624,-0.57171,-0.110876,0.504863,1.89853,1.064048,0.845189,-0.328462,-0.026056,-1.013583,-0.779341,-0.568336,0.904397,0.99486,-1.66322,-2.104042,-1.103042,1.180513,0.728771,-1.820711,-2.02128,-1.053251,1.325019,-0.128882,-0.590756,-0.352147,-0.545174,0.354038,-0.006494,-0.266293,-0.40629,0.780851,1.174658,0.96405,0.805561,1.329833,-0.611723,-0.669761,-0.869554,-0.747884,0.373566,1.191125,1.694678,-1.724697,-0.104013,0.57251,1.226237,-1.631449,-0.056143,0.067065,0.097236,-0.552173,0.408944,0.248226,0.196219,0.259625,0.036173,0.918987,0.408944,0.192446,0.16711,0.320874,0.104507,-0.169752,0.010507
2,0.666345,-0.178972,-0.645843,0.712039,1.688979,1.898264,1.252421,-0.493204,-0.52776,-1.304911,-1.126278,0.428482,1.177749,-0.291455,-0.805814,-1.714879,0.153469,1.479553,-0.749324,-0.248834,-1.881221,0.028415,1.506488,-0.867095,-0.299198,-0.660191,0.853407,1.12122,-0.157948,-1.260374,-0.010914,-0.269042,-0.408523,0.066862,1.673947,1.27731,1.044641,0.828469,-0.400806,-0.502138,-0.705633,0.399246,0.01306,0.926729,1.465514,-0.412587,-0.393383,0.328816,0.965303,-0.304166,0.270119,0.30319,0.281744,0.557625,-1.811039,-0.049463,-0.262011,-0.111832,-0.239446,-0.171707,-1.811039,0.026978,-0.163746,-0.031277,-0.218615,-0.097611,0.033644
3,-0.21765,0.794709,0.787515,-0.17671,-0.683558,1.252199,-0.874578,-1.623876,0.796156,1.497073,0.397348,0.334683,-0.032622,-1.1221,-1.457323,0.100376,0.507993,0.322497,-1.279901,-1.348331,-0.018912,0.484382,0.399724,-1.239407,-1.227322,0.844425,0.004767,-0.607503,-1.126013,-1.080995,0.363363,-0.036285,-0.219384,0.878371,1.166568,0.958974,0.801687,-0.822028,-0.24121,-0.375301,-0.581597,0.324631,-0.180916,0.784466,1.342209,-0.15653,-0.462231,0.270835,0.90322,0.023122,0.156643,0.221064,0.217571,-0.094531,0.408944,-0.059848,0.229211,0.082416,0.279989,0.331626,0.408944,-0.055755,0.065597,0.026287,0.222638,-0.388956,0.019028
4,0.787084,-0.938634,-1.332367,-0.86796,-0.2745,-0.874655,0.530402,1.072817,0.845189,0.265898,0.298243,-0.002666,-0.224556,0.077721,0.008572,0.45462,0.319171,-0.107469,0.134971,-0.248834,0.440306,0.194126,-0.193096,0.249841,-0.067167,-0.03974,-0.160847,-0.092516,0.229279,0.354038,0.063486,-0.222774,-0.370926,-0.566273,1.324139,1.057836,0.877139,0.268201,-0.266187,-0.395152,-0.601009,0.056277,-0.463586,0.577154,1.162523,-0.292907,-0.671457,0.094634,0.714554,-0.185221,-0.042648,0.076831,0.104867,-0.2218,0.408944,0.466301,0.210882,0.167613,0.170449,0.487592,0.408944,0.584531,0.3175,0.114324,0.104507,0.432281,0.011985
5,-1.00154,-0.821492,0.116755,-0.226085,0.952675,0.53023,1.341004,0.619004,-0.037421,-0.710551,-0.058185,0.911777,0.761945,0.354603,-0.561498,0.265948,0.762851,0.393049,0.488689,-0.468733,0.14798,0.919922,0.614084,0.622153,-0.531229,-0.212286,0.411549,0.463927,-0.157948,-0.542858,-0.5196,-0.38093,-0.499444,-1.17316,1.060273,1.397401,1.136294,-0.422774,0.787235,-0.017381,-0.231581,1.624172,0.676005,0.52269,1.115317,1.893967,0.654011,0.214047,0.842415,2.0925,0.476714,0.147254,0.159896,0.844002,0.408944,-0.115232,-0.174031,-0.006188,-0.108704,0.586993,0.408944,0.228417,0.020481,0.046603,-0.048368,0.257917,0.01479
6,-0.880662,0.069665,0.72289,0.613289,0.502711,1.340776,-0.036551,-1.051669,-0.135488,-0.031282,0.907977,0.095062,-0.602331,-0.937512,-0.968691,0.709278,0.286048,-0.335358,-1.45676,-1.128431,0.878951,0.313386,-0.444357,-1.239407,-1.111307,0.38407,0.168463,-0.150929,-0.738787,-0.901616,-0.422897,-0.32354,-0.452809,0.283558,0.450227,1.327911,1.08326,-0.990358,0.604811,0.005263,-0.209437,-0.172636,0.738281,0.303967,0.925741,0.237483,0.791833,0.086421,0.705759,0.329852,0.121797,0.126516,0.143691,-0.4526,0.408944,-0.136001,-0.067721,0.048338,-0.013297,-0.818513,0.408944,-0.023381,-0.099831,0.009356,0.083661,-0.248589,0.008843
7,0.038916,-0.569255,-0.475319,-0.76921,-0.06997,-0.036685,0.606772,0.491286,0.60002,0.180989,0.04507,0.458943,0.328063,0.354603,-0.235743,0.232851,0.416509,0.145189,-0.749324,-0.908532,0.268091,0.470321,0.162165,-0.680939,-0.879276,0.130808,0.573354,0.337632,0.810118,0.174659,-0.953387,-0.420687,-0.531751,-1.060454,1.151322,1.449451,1.176019,1.159342,0.672798,0.186131,-0.032563,0.191439,0.695309,0.130188,0.775119,0.075653,0.785033,0.022713,0.637545,0.11521,0.416421,0.257617,0.246134,0.510703,0.408944,0.07169,-0.10438,0.017667,-0.126372,-0.471217,0.408944,0.095323,-0.156227,0.019514,-0.225564,-0.497696,0.007329
8,-0.62038,-1.661509,-0.830328,0.810789,2.098037,0.606594,1.408705,0.612385,-1.459403,-2.323815,0.429532,0.491699,0.067112,1.185248,0.415766,0.363209,0.625666,0.207464,1.196125,0.081016,0.426145,0.445835,0.018039,1.180621,0.28088,0.552649,0.25947,-0.204309,0.810118,0.533417,-1.234537,-0.782019,-0.82537,-0.526143,1.567006,1.809118,1.450517,0.691393,0.94328,0.381241,0.158239,0.485848,0.839278,0.028463,0.686951,0.363095,0.906768,-0.050967,0.558652,0.305978,0.634215,0.271009,0.256598,0.396762,-1.811039,-0.312537,-0.478295,-0.530999,-0.720013,0.495207,-1.811039,-0.321942,-0.487083,-0.25137,-0.406234,-0.036725,0.0
9,-1.74747,-0.417547,0.999173,-0.37421,0.298182,1.408472,-0.812135,-1.695523,-1.067132,-0.201099,0.46414,2.444603,1.580328,2.661951,-0.235743,0.572201,2.415012,1.457916,2.434138,-0.908532,0.401484,2.16483,1.403108,2.297557,-0.76326,0.225625,2.028166,1.365911,2.359023,0.174659,-1.07743,-1.046928,-0.874495,0.412999,0.547966,1.004207,1.221714,-1.660929,1.781935,1.884939,1.179456,1.311921,1.615342,1.433415,1.133067,1.335007,1.50885,1.572329,1.22943,1.018885,1.471894,1.253136,0.785352,1.316084,0.408944,-0.437151,-0.694579,-0.554854,-0.840154,1.331652,0.408944,-0.577337,-0.566038,-0.698331,-0.705035,1.451037,0.024458
10,-0.463835,-2.157154,-1.337273,1.551414,1.770791,-0.812216,-0.108519,0.53732,-1.214234,-1.347366,2.527497,0.124037,-1.787475,-0.752924,-0.968691,2.360135,0.98369,-1.090698,-0.041888,-1.238381,2.132734,0.882435,-0.981278,-0.308627,-1.227322,2.06836,-0.360896,-1.768947,-1.126013,-0.722237,-1.943513,-1.525394,-1.265531,-1.779596,0.513905,0.600086,1.15237,-0.045993,1.797788,1.752559,1.213921,0.11564,1.943043,1.719427,1.151802,0.645602,1.784063,1.920168,1.340942,0.53376,1.197598,0.797757,0.614027,-0.333036,0.408944,-0.672534,-0.899866,-0.824075,-0.808352,-0.18965,0.408944,-0.724818,-0.938251,-0.749121,-0.903078,1.098342,0.007815
