PERIOD_INDEX,TARGET_RETURN,投資信託_WOW_NET,法人_WOW_NET,投資信託_BUY_RATIO,投資信託_CURR_NET,N225_NIGHT_CLOSE,N225_NIGHT_LOW,N225_DAY_LOW,法人_ROLL12_NET,法人_CURR_NET,N225_DAY_CLOSE,N225_DAY_VOLUME,N225_DAY_HIGH,N225_NIGHT_HIGH,法人_BUY_RATIO,N225_DAY_OPEN,N225_NIGHT_OPEN,信託銀行_WOW_NET,N225_NIGHT_VOLUME,金融機関_WOW_NET,法人_PREV_NET
1,0.010507,-0.352147,-0.779341,-0.545174,-0.590756,0.104507,0.320874,0.259625,-0.869554,-1.013583,0.036173,0.918987,0.196219,0.16711,-0.568336,0.248226,0.192446,-2.02128,-0.169752,-2.104042,-0.026056
2,0.033644,1.12122,1.177749,-0.157948,0.853407,-0.218615,-0.031277,-0.111832,-0.705633,0.428482,-0.239446,-0.171707,-0.262011,-0.163746,-0.291455,-0.049463,0.026978,1.506488,-0.097611,1.479553,-1.126278
3,0.019028,-0.607503,-0.032622,-1.126013,0.004767,0.222638,0.026287,0.082416,-0.581597,0.334683,0.279989,0.331626,0.229211,0.065597,-1.1221,-0.059848,-0.055755,0.399724,-0.388956,0.322497,0.397348
4,0.011985,-0.092516,-0.224556,0.229279,-0.160847,0.104507,0.114324,0.167613,-0.601009,-0.002666,0.170449,0.487592,0.210882,0.3175,0.077721,0.466301,0.584531,-0.193096,0.432281,-0.107469,0.298243
5,0.01479,0.463927,0.761945,-0.157948,0.411549,-0.048368,0.046603,-0.006188,-0.231581,0.911777,-0.108704,0.586993,-0.174031,0.020481,0.354603,-0.115232,0.228417,0.614084,0.257917,0.393049,-0.058185
6,0.008843,-0.150929,-0.602331,-0.738787,0.168463,0.083661,0.009356,0.048338,-0.209437,0.095062,-0.013297,-0.818513,-0.067721,-0.099831,-0.937512,-0.136001,-0.023381,-0.444357,-0.248589,-0.335358,0.907977
7,0.007329,0.337632,0.328063,0.810118,0.573354,-0.225564,0.019514,0.017667,-0.032563,0.458943,-0.126372,-0.471217,-0.10438,-0.156227,0.354603,0.07169,0.095323,0.162165,-0.497696,0.145189,0.04507
8,0.0,-0.204309,0.067112,0.810118,0.25947,-0.406234,-0.25137,-0.530999,0.158239,0.491699,-0.720013,0.495207,-0.478295,-0.487083,1.185248,-0.312537,-0.321942,0.018039,-0.036725,0.207464,0.429532
9,0.024458,1.365911,1.580328,2.359023,2.028166,-0.705035,-0.698331,-0.554854,1.179456,2.444603,-0.840154,1.331652,-0.694579,-0.566038,2.661951,-0.437151,-0.577337,1.403108,1.451037,1.457916,0.46414
10,0.007815,-1.768947,-1.787475,-1.126013,-0.360896,-0.903078,-0.749121,-0.824075,1.213921,0.124037,-0.808352,-0.18965,-0.899866,-0.938251,-0.752924,-0.672534,-0.724818,-0.981278,1.098342,-1.090698,2.527497
