SOURCE_FILE,DATE,SST_TOTAL,SST_UNIQUE,SST_PARSED,CELL_COUNT,EXTRACTED_ROWS,STATUS,ERROR
stock_val_1_250101.xls,2025-01-01,1684,776,776,421,40,PASS,
stock_val_1_250102.xls,2025-01-02,1684,793,793,421,40,PASS,
stock_val_1_250103.xls,2025-01-03,1684,789,789,421,40,PASS,
stock_val_1_250104.xls,2025-01-04,1684,794,794,421,40,PASS,
stock_val_1_250201.xls,2025-02-01,1684,795,795,421,40,PASS,
stock_val_1_250202.xls,2025-02-02,1684,786,786,421,40,PASS,
stock_val_1_250203.xls,2025-02-03,1684,783,783,421,40,PASS,
stock_val_1_250204.xls,2025-02-04,1684,798,798,421,40,PASS,
stock_val_1_250301.xls,2025-03-01,1684,806,806,421,40,PASS,
stock_val_1_250302.xls,2025-03-02,1684,804,804,421,40,PASS,
stock_val_1_250303.xls,2025-03-03,1684,791,791,421,40,PASS,
stock_val_1_250304.xls,2025-03-04,1684,797,797,421,40,PASS,
stock_val_1_250401.xls,2025-04-01,1684,802,802,421,40,PASS,
stock_val_1_250402.xls,2025-04-02,1684,798,798,421,40,PASS,
stock_val_1_250403.xls,2025-04-03,1684,795,795,421,40,PASS,
stock_val_1_250404.xls,2025-04-04,1684,792,792,421,40,PASS,
stock_val_1_250501.xls,2025-05-01,1684,792,792,421,40,PASS,
stock_val_1_250502.xls,2025-05-02,1684,792,792,421,40,PASS,
stock_val_1_250503.xls,2025-05-03,1684,789,789,421,40,PASS,
stock_val_1_250504.xls,2025-05-04,1684,802,802,421,40,PASS,
stock_val_1_250505.xls,2025-05-05,1684,791,791,421,40,PASS,
stock_val_1_250601.xls,2025-06-01,1684,792,792,421,40,PASS,
stock_val_1_250602.xls,2025-06-02,1684,802,802,421,40,PASS,
stock_val_1_250603.xls,2025-06-03,1684,793,793,421,40,PASS,
stock_val_1_250604.xls,2025-06-04,1684,794,794,421,40,PASS,
stock_val_1_250701.xls,2025-07-01,1684,791,791,421,40,PASS,
stock_val_1_250702.xls,2025-07-02,1684,794,794,421,40,PASS,
stock_val_1_250703.xls,2025-07-03,1684,788,788,421,40,PASS,
stock_val_1_250704.xls,2025-07-04,1684,778,778,421,40,PASS,
stock_val_1_250705.xls,2025-07-05,1684,795,795,421,40,PASS,
stock_val_1_250801.xls,2025-08-01,1684,790,790,421,40,PASS,
stock_val_1_250802.xls,2025-08-02,1684,790,790,421,40,PASS,
stock_val_1_250803.xls,2025-08-03,1684,792,792,421,40,PASS,
stock_val_1_250804.xls,2025-08-04,1684,798,798,421,40,PASS,
stock_val_1_250901.xls,2025-09-01,1684,792,792,421,40,PASS,
stock_val_1_250902.xls,2025-09-02,1684,789,789,421,40,PASS,
stock_val_1_250903.xls,2025-09-03,1684,789,789,421,40,PASS,
stock_val_1_250904.xls,2025-09-04,1684,783,783,421,40,PASS,
stock_val_1_251001.xls,2025-10-01,1684,795,795,421,40,PASS,
stock_val_1_251002.xls,2025-10-02,1684,794,794,421,40,PASS,
stock_val_1_251003.xls,2025-10-03,1684,794,794,421,40,PASS,
stock_val_1_251004.xls,2025-10-04,1684,779,779,421,40,PASS,
stock_val_1_251005.xls,2025-10-05,1684,790,790,421,40,PASS,
stock_val_1_251101.xls,2025-11-01,1684,802,802,421,40,PASS,
stock_val_1_251102.xls,2025-11-02,1684,798,798,421,40,PASS,
stock_val_1_251103.xls,2025-11-03,1684,791,791,421,40,PASS,
stock_val_1_251104.xls,2025-11-04,1684,794,794,421,40,PASS,
stock_val_1_251201.xls,2025-12-01,1684,798,798,421,40,PASS,
stock_val_1_251202.xls,2025-12-02,1684,791,791,421,40,PASS,
stock_val_1_251203.xls,2025-12-03,1684,798,798,421,40,PASS,
stock_val_1_251204.xls,2025-12-04,1684,799,799,421,40,PASS,
stock_val_1_251205.xls,2025-12-05,1684,789,789,421,40,PASS,
