DATE,SOURCE_FILE,SECTION,CATEGORY,SIDE,AMOUNT,RATIO,NET
2025-01-01,stock_val_1_250101.xls,委託内訳,海外投資家,売り,2295893467.0,62.6,-65723365.0
2025-01-01,stock_val_1_250101.xls,委託内訳累計,海外投資家,売り,14967569423.0,64.5,
2025-01-01,stock_val_1_250101.xls,委託内訳,海外投資家,買い,2230170102.0,59.8,
2025-01-01,stock_val_1_250101.xls,委託内訳累計,海外投資家,買い,15311121612.0,64.0,343552189.0
2025-01-01,stock_val_1_250101.xls,委託内訳,証券会社,売り,11132728.0,0.3,
2025-01-01,stock_val_1_250101.xls,委託内訳累計,証券会社,売り,102643464.0,0.4,
2025-01-01,stock_val_1_250101.xls,委託内訳,証券会社,買い,12817187.0,0.3,1684459.0
2025-01-01,stock_val_1_250101.xls,委託内訳累計,証券会社,買い,115379979.0,0.5,12736515.0
2025-01-01,stock_val_1_250101.xls,委託内訳,投資信託,売り,115048347.0,3.1,-43440078.0
2025-01-01,stock_val_1_250101.xls,委託内訳累計,投資信託,売り,505449394.0,2.2,-116178102.0
2025-01-01,stock_val_1_250101.xls,委託内訳,投資信託,買い,71608269.0,1.9,
2025-01-01,stock_val_1_250101.xls,委託内訳累計,投資信託,買い,389271292.0,1.6,
2025-01-01,stock_val_1_250101.xls,委託内訳,事業法人,売り,30450178.0,0.8,-178517.0
2025-01-01,stock_val_1_250101.xls,委託内訳累計,事業法人,売り,224761370.0,1.0,
2025-01-01,stock_val_1_250101.xls,委託内訳,事業法人,買い,30271661.0,0.8,
2025-01-01,stock_val_1_250101.xls,委託内訳累計,事業法人,買い,550436285.0,2.3,325674915.0
2025-01-01,stock_val_1_250101.xls,委託内訳,その他法人等,売り,4040702.0,0.1,
2025-01-01,stock_val_1_250101.xls,委託内訳累計,その他法人等,売り,43817044.0,0.2,
2025-01-01,stock_val_1_250101.xls,委託内訳,その他法人等,買い,12895417.0,0.3,8854715.0
2025-01-01,stock_val_1_250101.xls,委託内訳累計,その他法人等,買い,65527943.0,0.3,21710899.0
2025-01-01,stock_val_1_250101.xls,委託内訳,その他法人等,売り,47845816.0,1.3,
2025-01-01,stock_val_1_250101.xls,委託内訳累計,その他法人等,売り,963225603.0,4.1,-596728803.0
2025-01-01,stock_val_1_250101.xls,委託内訳,その他法人等,買い,77336545.0,2.1,29490729.0
2025-01-01,stock_val_1_250101.xls,委託内訳累計,その他法人等,買い,366496800.0,1.5,
2025-01-01,stock_val_1_250101.xls,委託内訳,生保・損保,売り,22726.0,0.0,
2025-01-01,stock_val_1_250101.xls,委託内訳累計,生保・損保,売り,34483923.0,0.1,-21101633.0
2025-01-01,stock_val_1_250101.xls,委託内訳,生保・損保,買い,27553.0,0.0,4827.0
2025-01-01,stock_val_1_250101.xls,委託内訳累計,生保・損保,買い,13382290.0,0.1,
2025-01-01,stock_val_1_250101.xls,委託内訳,都銀・地銀等,売り,1698793.0,0.0,-1570925.0
2025-01-01,stock_val_1_250101.xls,委託内訳累計,都銀・地銀等,売り,63037606.0,0.3,-55026336.0
2025-01-01,stock_val_1_250101.xls,委託内訳,都銀・地銀等,買い,127868.0,0.0,
2025-01-01,stock_val_1_250101.xls,委託内訳累計,都銀・地銀等,買い,8011270.0,0.0,
2025-01-01,stock_val_1_250101.xls,委託内訳,都銀・地銀等,売り,45005208.0,1.2,
2025-01-01,stock_val_1_250101.xls,委託内訳累計,都銀・地銀等,売り,846600738.0,3.6,-531876103.0
2025-01-01,stock_val_1_250101.xls,委託内訳,都銀・地銀等,買い,76314033.0,2.0,31308825.0
2025-01-01,stock_val_1_250101.xls,委託内訳累計,都銀・地銀等,買い,314724635.0,1.3,
2025-01-01,stock_val_1_250101.xls,委託内訳,都銀・地銀等,売り,1119089.0,0.0,-251998.0
