SOURCE_FILE,STATUS,SST_TOTAL,SST_UNIQUE,ROW_COUNT,OBSERVATION_WEEK,OBSERVATION_START,OBSERVATION_END,ERROR
stock_val_1_250101.xls,PASS,1684,776,26,2025-01-W1,2025-01-06,2025-01-10,
stock_val_1_250102.xls,PASS,1684,793,26,2025-01-W2,2025-01-14,2025-01-17,
stock_val_1_250103.xls,PASS,1684,789,26,2025-01-W3,2025-01-20,2025-01-24,
stock_val_1_250104.xls,PASS,1684,794,26,2025-01-W4,2025-01-27,2025-01-31,
stock_val_1_250201.xls,PASS,1684,795,26,2025-02-W1,2025-02-03,2025-02-07,
stock_val_1_250202.xls,PASS,1684,786,26,2025-02-W2,2025-02-10,2025-02-14,
stock_val_1_250203.xls,PASS,1684,783,26,2025-02-W3,2025-02-17,2025-02-21,
stock_val_1_250204.xls,PASS,1684,798,26,2025-02-W4,2025-02-25,2025-02-28,
stock_val_1_250301.xls,PASS,1684,806,26,2025-03-W1,2025-03-03,2025-03-07,
stock_val_1_250302.xls,PASS,1684,804,26,2025-03-W2,2025-03-10,2025-03-14,
stock_val_1_250303.xls,PASS,1684,791,26,2025-03-W3,2025-03-17,2025-03-21,
stock_val_1_250304.xls,PASS,1684,797,26,2025-03-W4,2025-03-24,2025-03-28,
stock_val_1_250401.xls,PASS,1684,802,26,2025-04-W1,2025-03-31,2025-04-04,
stock_val_1_250402.xls,PASS,1684,798,26,2025-04-W2,2025-04-07,2025-04-11,
stock_val_1_250403.xls,PASS,1684,795,26,2025-04-W3,2025-04-14,2025-04-18,
stock_val_1_250404.xls,PASS,1684,792,26,2025-04-W4,2025-04-21,2025-04-25,
stock_val_1_250501.xls,PASS,1684,792,26,2025-05-W1,2025-04-28,2025-05-02,
stock_val_1_250502.xls,PASS,1684,792,26,2025-05-W2,2025-05-07,2025-05-09,
stock_val_1_250503.xls,PASS,1684,789,26,2025-05-W3,2025-05-12,2025-05-16,
stock_val_1_250504.xls,PASS,1684,802,26,2025-05-W4,2025-05-19,2025-05-23,
stock_val_1_250505.xls,PASS,1684,791,26,2025-05-W5,2025-05-26,2025-05-30,
stock_val_1_250601.xls,PASS,1684,792,26,2025-06-W1,2025-06-02,2025-06-06,
stock_val_1_250602.xls,PASS,1684,802,26,2025-06-W2,2025-06-09,2025-06-13,
stock_val_1_250603.xls,PASS,1684,793,26,2025-06-W3,2025-06-16,2025-06-20,
stock_val_1_250604.xls,PASS,1684,794,26,2025-06-W4,2025-06-23,2025-06-27,
stock_val_1_250701.xls,PASS,1684,791,26,2025-07-W1,2025-06-30,2025-07-04,
stock_val_1_250702.xls,PASS,1684,794,26,2025-07-W2,2025-07-07,2025-07-11,
stock_val_1_250703.xls,PASS,1684,788,26,2025-07-W3,2025-07-14,2025-07-18,
stock_val_1_250704.xls,PASS,1684,778,26,2025-07-W4,2025-07-22,2025-07-25,
stock_val_1_250705.xls,PASS,1684,795,26,2025-07-W5,2025-07-28,2025-08-01,
stock_val_1_250801.xls,PASS,1684,790,26,2025-08-W1,2025-08-04,2025-08-08,
stock_val_1_250802.xls,PASS,1684,790,26,2025-08-W2,2025-08-12,2025-08-15,
stock_val_1_250803.xls,PASS,1684,792,26,2025-08-W3,2025-08-18,2025-08-22,
stock_val_1_250804.xls,PASS,1684,798,26,2025-08-W4,2025-08-25,2025-08-29,
stock_val_1_250901.xls,PASS,1684,792,26,2025-09-W1,2025-09-01,2025-09-05,
stock_val_1_250902.xls,PASS,1684,789,26,2025-09-W2,2025-09-08,2025-09-12,
stock_val_1_250903.xls,PASS,1684,789,26,2025-09-W3,2025-09-16,2025-09-19,
stock_val_1_250904.xls,PASS,1684,783,26,2025-09-W4,2025-09-22,2025-09-26,
stock_val_1_251001.xls,PASS,1684,795,26,2025-10-W1,2025-09-29,2025-10-03,
stock_val_1_251002.xls,PASS,1684,794,26,2025-10-W2,2025-10-06,2025-10-10,
stock_val_1_251003.xls,PASS,1684,794,26,2025-10-W3,2025-10-14,2025-10-17,
stock_val_1_251004.xls,PASS,1684,779,26,2025-10-W4,2025-10-20,2025-10-24,
stock_val_1_251005.xls,PASS,1684,790,26,2025-10-W5,2025-10-27,2025-10-31,
stock_val_1_251101.xls,PASS,1684,802,26,2025-11-W1,2025-11-04,2025-11-07,
stock_val_1_251102.xls,PASS,1684,798,26,2025-11-W2,2025-11-10,2025-11-14,
stock_val_1_251103.xls,PASS,1684,791,26,2025-11-W3,2025-11-17,2025-11-21,
stock_val_1_251104.xls,PASS,1684,794,26,2025-11-W4,2025-11-25,2025-11-28,
stock_val_1_251201.xls,PASS,1684,798,26,2025-12-W1,2025-12-01,2025-12-05,
stock_val_1_251202.xls,PASS,1684,791,26,2025-12-W2,2025-12-08,2025-12-12,
stock_val_1_251203.xls,PASS,1684,798,26,2025-12-W3,2025-12-15,2025-12-19,
stock_val_1_251204.xls,PASS,1684,799,26,2025-12-W4,2025-12-22,2025-12-26,
stock_val_1_251205.xls,PASS,1684,789,26,2025-12-W5,2025-12-29,2025-12-30,
