FILE_IDENTIFIER_DATE,SOURCE_FILE,OBSERVATION_WEEK,OBSERVATION_START,OBSERVATION_END,PERIOD_TYPE,PERIOD_START,PERIOD_END,SECTION,SUBSECTION,CATEGORY,SIDE,AMOUNT,RATIO,BALANCE
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,PREVIOUS,12/30～12/30,12/30～12/30,委託内訳,,法人,SELL,197385043,5.4,-5273151
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,PREVIOUS,12/30～12/30,12/30～12/30,委託内訳,,法人,BUY,192111892,5.2,
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,CURRENT,2025-01-06,2025-01-10,委託内訳,,法人,SELL,1737253411,7.5,-365521091
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,CURRENT,2025-01-06,2025-01-10,委託内訳,,法人,BUY,1371732320,5.7,
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,PREVIOUS,12/30～12/30,12/30～12/30,委託内訳,,個人,SELL,1162090778,31.7,
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,PREVIOUS,12/30～12/30,12/30～12/30,委託内訳,,個人,BUY,1293673951,34.7,131583173
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,CURRENT,2025-01-06,2025-01-10,委託内訳,,個人,SELL,6411912980,27.6,
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,CURRENT,2025-01-06,2025-01-10,委託内訳,,個人,BUY,7139662694,29.8,727749714
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,PREVIOUS,12/30～12/30,12/30～12/30,委託内訳,,海外投資家,SELL,2295893467,62.6,-65723365
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,PREVIOUS,12/30～12/30,12/30～12/30,委託内訳,,海外投資家,BUY,2230170102,59.8,
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,CURRENT,2025-01-06,2025-01-10,委託内訳,,海外投資家,SELL,14967569423,64.5,
2025-01-01,stock_val_1_250101.xls,2025-01-W1,2025-01-06,2025-01-10,CURRENT,2025-01-06,2025-01-10,委託内訳,,海外投資家,BUY,15311121612,64.0,343552189
