FILE,FILE_SIZE,STATUS,ERROR,WORKBOOK_STREAM_SIZE,BIFF_RECORDS,LABEL_RECORDS,NUMBER_RECORDS,RK_RECORDS
stock_val_1_250101.xls,98816,PASS,,88479,0,0,0,0
stock_val_1_250102.xls,99840,PASS,,89091,0,0,0,0
stock_val_1_250103.xls,99840,PASS,,89092,0,0,0,0
stock_val_1_250104.xls,99840,PASS,,89275,0,0,0,0
stock_val_1_250201.xls,99840,PASS,,89192,0,0,0,0
stock_val_1_250202.xls,99328,PASS,,88973,0,0,0,0
stock_val_1_250203.xls,99840,PASS,,89104,0,0,0,0
stock_val_1_250204.xls,99840,PASS,,89234,0,0,0,0
stock_val_1_250301.xls,99840,PASS,,89193,0,0,0,0
stock_val_1_250302.xls,99840,PASS,,89163,0,0,0,0
stock_val_1_250303.xls,99840,PASS,,89167,0,0,0,0
stock_val_1_250304.xls,99840,PASS,,89377,0,0,0,0
stock_val_1_250401.xls,99840,PASS,,89148,0,0,0,0
stock_val_1_250402.xls,99328,PASS,,88732,0,0,0,0
stock_val_1_250403.xls,99328,PASS,,88700,0,0,0,0
stock_val_1_250404.xls,99328,PASS,,89011,0,0,0,0
stock_val_1_250501.xls,99840,PASS,,89149,0,0,0,0
stock_val_1_250502.xls,99840,PASS,,89119,0,0,0,0
stock_val_1_250503.xls,99840,PASS,,89320,0,0,0,0
stock_val_1_250504.xls,99840,PASS,,89450,0,0,0,0
stock_val_1_250505.xls,99840,PASS,,89310,0,0,0,0
stock_val_1_250601.xls,99840,PASS,,89287,0,0,0,0
stock_val_1_250602.xls,99840,PASS,,89385,0,0,0,0
stock_val_1_250603.xls,99840,PASS,,89345,0,0,0,0
stock_val_1_250604.xls,99840,PASS,,89368,0,0,0,0
stock_val_1_250701.xls,99840,PASS,,89208,0,0,0,0
stock_val_1_250702.xls,99840,PASS,,89163,0,0,0,0
stock_val_1_250703.xls,99840,PASS,,89177,0,0,0,0
stock_val_1_250704.xls,99840,PASS,,89128,0,0,0,0
stock_val_1_250705.xls,99840,PASS,,89280,0,0,0,0
stock_val_1_250801.xls,99840,PASS,,89340,0,0,0,0
stock_val_1_250802.xls,99840,PASS,,89409,0,0,0,0
stock_val_1_250803.xls,99840,PASS,,89423,0,0,0,0
stock_val_1_250804.xls,99840,PASS,,89524,0,0,0,0
stock_val_1_250901.xls,99840,PASS,,89447,0,0,0,0
stock_val_1_250902.xls,99840,PASS,,89564,0,0,0,0
stock_val_1_250903.xls,100352,PASS,,89664,0,0,0,0
stock_val_1_250904.xls,99840,PASS,,89464,0,0,0,0
stock_val_1_251001.xls,99840,PASS,,89312,0,0,0,0
stock_val_1_251002.xls,99840,PASS,,89259,0,0,0,0
stock_val_1_251003.xls,99840,PASS,,89216,0,0,0,0
stock_val_1_251004.xls,99840,PASS,,89188,0,0,0,0
stock_val_1_251005.xls,99840,PASS,,89470,0,0,0,0
stock_val_1_251101.xls,99840,PASS,,89253,0,0,0,0
stock_val_1_251102.xls,99840,PASS,,89242,0,0,0,0
stock_val_1_251103.xls,99840,PASS,,89358,0,0,0,0
stock_val_1_251104.xls,99840,PASS,,89176,0,0,0,0
stock_val_1_251201.xls,99840,PASS,,89137,0,0,0,0
stock_val_1_251202.xls,99328,PASS,,88999,0,0,0,0
stock_val_1_251203.xls,99840,PASS,,89125,0,0,0,0
stock_val_1_251204.xls,99840,PASS,,89276,0,0,0,0
stock_val_1_251205.xls,99328,PASS,,88678,0,0,0,0
