WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME
2025-W00,39930.0,39990.0,39220.0,39370.0,19111
2025-W01,39330.0,40320.0,39160.0,39250.0,224932
2025-W02,39280.0,39330.0,38070.0,38470.0,181892
2025-W03,38470.0,40410.0,38400.0,39940.0,191794
2025-W04,40040.0,40610.0,38660.0,39630.0,230217
2025-W05,39650.0,39820.0,38380.0,38840.0,227601
2025-W06,38870.0,39600.0,38350.0,39110.0,148860
2025-W07,39160.0,39500.0,38380.0,38790.0,153757
2025-W08,38810.0,38870.0,36840.0,37110.0,232103
2025-W09,37230.0,38260.0,36260.0,36770.0,305431
2025-W10,36870.0,37330.0,35980.0,36860.0,227587
2025-W11,36830.0,37870.0,36790.0,37400.0,150340
2025-W12,37420.0,37970.0,36900.0,37010.0,195019
2025-W13,36880.0,36890.0,33300.0,33760.0,348479
2025-W14,33550.0,35140.0,30650.0,33520.0,575135
2025-W15,33170.0,34830.0,32700.0,34830.0,195093
2025-W16,34730.0,35870.0,33860.0,35780.0,169557
2025-W17,35700.0,37070.0,35480.0,36810.0,156357
2025-W18,36860.0,37680.0,36590.0,37520.0,135932
2025-W19,37550.0,38790.0,37310.0,37770.0,161703
2025-W20,37830.0,38000.0,36710.0,37190.0,141876
2025-W21,37210.0,38470.0,36450.0,37960.0,173885
2025-W22,38000.0,38040.0,37280.0,37770.0,149968
2025-W23,37740.0,38750.0,37470.0,37780.0,145961
2025-W24,37880.0,38950.0,37850.0,38350.0,161017
2025-W25,38460.0,40290.0,38000.0,40180.0,167454
2025-W26,40200.0,40870.0,39430.0,39770.0,195157
2025-W27,39750.0,40050.0,39330.0,39510.0,141749
2025-W28,39380.0,40130.0,39130.0,39830.0,138660
2025-W29,39860.0,42080.0,39460.0,41360.0,195114
2025-W30,41340.0,41610.0,40480.0,40860.0,173524
2025-W31,40690.0,42030.0,39730.0,41820.0,205421
2025-W32,41820.0,43480.0,41810.0,43470.0,204643
2025-W33,43440.0,43930.0,42310.0,42570.0,174884
2025-W34,42670.0,43200.0,42110.0,42690.0,152426
2025-W35,42660.0,43230.0,41690.0,43070.0,173959
2025-W36,43050.0,44720.0,42590.0,44480.0,170154
2025-W37,44430.0,45720.0,44250.0,44730.0,181014
2025-W38,44830.0,45660.0,44830.0,45050.0,137398
2025-W39,45130.0,45280.0,44780.0,44930.0,69508
