METRIC,VALUE
JPX_TOTAL_ROWS,705485
N225_CONTEXT_TOTAL_ROWS,705485
JPX_UNIQUE_KEYS,705485
N225_CONTEXT_UNIQUE_KEYS,705485
JPX_INVALID_KEYS,0
N225_CONTEXT_INVALID_KEYS,0
JPX_DUPLICATE_KEYS,0
N225_CONTEXT_DUPLICATE_KEYS,0
COMPARISON_ROWS,705485
KEY_MISMATCH,0
JPX_ONLY_KEYS,0
N225_ONLY_KEYS,0
N225_MISSING_DIRECTION,0
N225_PIT_FAIL,0
DECISION_TIME,09:10:00
LATEST_N225_BAR,09:09:00
N225_ASSET_TYPE,NIKKEI_225_FUTURES
N225_ROLE,MARKET_CONTEXT_ONLY
RULE_CHANGE,NONE
COMPARATIVE_AUDIT,PASS
