ANALYSIS_TYPE,DATASET,GAP_BUCKET,PREV_RANGE_BUCKET,OPEN_LOCATION,N225_DIMENSION,N225_VALUE,SAMPLE_COUNT,AVG_MAX_UP_PCT,AVG_MAX_DOWN_PCT,AVG_CLOSE_PCT
BASELINE,JPX_ONLY,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,,,5370,1.0529452794255276,-1.4841980782498645,-0.5581234863610288
BASELINE,JPX_ONLY,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,,,201675,1.1499485636137547,-1.0395238850803967,0.022798387784837313
BASELINE,JPX_ONLY,-1~0%,>=10,BELOW_PREV_LOW,,,29747,1.1248200296753124,-0.9686664307174855,0.05803214827641764
BASELINE,JPX_ONLY,0~1%,>=10,ABOVE_PREV_HIGH,,,40455,0.9831441842312784,-1.0449741843901579,-0.03491900930305002
BASELINE,JPX_ONLY,1~3%,>=10,BETWEEN_PREV_HIGH_LOW,,,26893,1.762502409948777,-1.9323193475944787,-0.28888869827115826
BASELINE,JPX_ONLY,-1~0%,>=10,BETWEEN_PREV_HIGH_LOW,,,97863,1.2067266032547912,-1.0823364099359571,0.07437381109672998
BASELINE,JPX_ONLY,1~3%,>=10,ABOVE_PREV_HIGH,,,29828,1.380420551496064,-1.635617426608311,-0.23204831032124243
BASELINE,JPX_ONLY,0~1%,5~10,ABOVE_PREV_HIGH,,,8832,0.6743829220711192,-0.851088043986559,-0.09224414317402518
BASELINE,JPX_ONLY,0~1%,5~10,BETWEEN_PREV_HIGH_LOW,,,45735,0.9215726492783876,-0.8295281221555983,0.008353127207093677
BASELINE,JPX_ONLY,-1~0%,5~10,BELOW_PREV_LOW,,,5213,0.9608708173644527,-0.7455235982301088,0.08140874669436349
BASELINE,JPX_ONLY,0~1%,3~5,BETWEEN_PREV_HIGH_LOW,,,21249,0.9224216238846792,-0.8330193926701829,-0.004512075555495214
BASELINE,JPX_ONLY,-1~0%,5~10,BETWEEN_PREV_HIGH_LOW,,,14789,0.9967634232280451,-0.7758660582425083,0.12214745906535647
BASELINE,JPX_ONLY,-1~0%,3~5,BELOW_PREV_LOW,,,2087,0.9361127559290765,-0.624887941063621,0.10584004361613716
BASELINE,JPX_ONLY,1~3%,5~10,BETWEEN_PREV_HIGH_LOW,,,3104,1.908545300331397,-1.9183716924778635,-0.3117204684066033
BASELINE,JPX_ONLY,1~3%,5~10,ABOVE_PREV_HIGH,,,3863,1.1109932365476047,-1.5063730543707958,-0.35054111949510874
BASELINE,JPX_ONLY,-3~-1%,>=10,BELOW_PREV_LOW,,,22397,1.6819759205228246,-1.5131878031556356,0.1284861578267592
BASELINE,JPX_ONLY,3~5%,>=10,BETWEEN_PREV_HIGH_LOW,,,1627,4.443553098649626,-3.118862808552459,0.29781700603151
BASELINE,JPX_ONLY,1~3%,3~5,ABOVE_PREV_HIGH,,,1424,1.1765274494092492,-1.6426065006416448,-0.4255935230310828
BASELINE,JPX_ONLY,3~5%,>=10,ABOVE_PREV_HIGH,,,4841,2.500920026553597,-2.3900567035732077,-0.040075816881858836
BASELINE,JPX_ONLY,1~3%,3~5,BETWEEN_PREV_HIGH_LOW,,,1562,2.1623674894157277,-1.9973336302353077,-0.0842851833185966
BASELINE,JPX_ONLY,0~1%,2~3,BETWEEN_PREV_HIGH_LOW,,,9869,1.025040761613476,-0.8694206037039912,0.028328937885878338
BASELINE,JPX_ONLY,>=5%,>=10,ABOVE_PREV_HIGH,,,5842,2.6545056949958683,-3.7328077092880405,-0.7166394199164329
BASELINE,JPX_ONLY,-1~0%,3~5,BETWEEN_PREV_HIGH_LOW,,,5255,0.9321616873123701,-0.6382378333639409,0.14181318128906792
BASELINE,JPX_ONLY,>=5%,1~2,BETWEEN_PREV_HIGH_LOW,,,129,1.565096526846833,-7.8694122827969775,-3.846468752059508
BASELINE,JPX_ONLY,<-5%,>=10,BELOW_PREV_LOW,,,5485,4.273744616906853,-2.3191937445212987,0.730448013391282
BASELINE,JPX_ONLY,0~1%,3~5,ABOVE_PREV_HIGH,,,3779,0.5697751929209571,-0.7785067909633314,-0.11616514552713338
BASELINE,JPX_ONLY,-3~-1%,>=10,BETWEEN_PREV_HIGH_LOW,,,20260,2.1217320958055845,-1.8297029976895107,0.1456363470601476
BASELINE,JPX_ONLY,-1~0%,2~3,BELOW_PREV_LOW,,,804,0.8605793958128961,-0.4956803401943813,0.18201729893998309
BASELINE,JPX_ONLY,-5~-3%,>=10,BELOW_PREV_LOW,,,5485,2.5452641339156528,-2.1008072320055144,0.4342369114237958
BASELINE,JPX_ONLY,-3~-1%,3~5,BETWEEN_PREV_HIGH_LOW,,,891,2.6288297224865556,-1.63396933951052,0.4716390332740473
BASELINE,JPX_ONLY,-3~-1%,5~10,BETWEEN_PREV_HIGH_LOW,,,1810,2.203652104349312,-1.7253122270640437,0.24288346604406216
BASELINE,JPX_ONLY,-5~-3%,1~2,BETWEEN_PREV_HIGH_LOW,,,71,4.545128365306348,-0.6421623160569052,1.5034436403663995
BASELINE,JPX_ONLY,-1~0%,2~3,BETWEEN_PREV_HIGH_LOW,,,1728,0.9118641014509398,-0.5192398218907976,0.17906095326064606
BASELINE,JPX_ONLY,-1~0%,1~2,BETWEEN_PREV_HIGH_LOW,,,472,0.7208128888676951,-0.2848810585137175,0.20528675404500626
BASELINE,JPX_ONLY,<-5%,3~5,BELOW_PREV_LOW,,,78,4.9434923338117,-2.884090857108864,0.03066655969362543
BASELINE,JPX_ONLY,-3~-1%,5~10,BELOW_PREV_LOW,,,2617,1.6173094654202054,-1.2495108225083735,0.17516149945435833
BASELINE,JPX_ONLY,0~1%,1~2,BETWEEN_PREV_HIGH_LOW,,,5123,1.1274745554922911,-0.8896287096423975,0.07067566918739296
BASELINE,JPX_ONLY,3~5%,5~10,ABOVE_PREV_HIGH,,,438,2.8415029271430963,-2.440226713571418,-0.04611434295479139
BASELINE,JPX_ONLY,-5~-3%,5~10,BELOW_PREV_LOW,,,398,2.4832307875912916,-1.729802795756189,0.38865308737111176
BASELINE,JPX_ONLY,>=5%,5~10,ABOVE_PREV_HIGH,,,434,4.217626533224778,-4.359659277652915,-0.3686457103198933
BASELINE,JPX_ONLY,-3~-1%,2~3,BELOW_PREV_LOW,,,283,1.7730289870806766,-1.0218575557553669,0.4135968141418971
BASELINE,JPX_ONLY,-1~0%,1~2,BELOW_PREV_LOW,,,527,0.8345897983114489,-0.35382814152011594,0.2607333867099712
BASELINE,JPX_ONLY,0~1%,2~3,ABOVE_PREV_HIGH,,,1399,0.5010171441162058,-0.7657137963440903,-0.12137709976450768
BASELINE,JPX_ONLY,-5~-3%,>=10,BETWEEN_PREV_HIGH_LOW,,,1288,4.20154882191288,-3.5876509089581674,0.17217136723233584
BASELINE,JPX_ONLY,0~1%,<1,ABOVE_PREV_HIGH,,,369,0.5334204070899042,-0.5259809958003271,-0.009091457550922043
BASELINE,JPX_ONLY,0~1%,1~2,ABOVE_PREV_HIGH,,,738,0.46936548761356034,-0.6987874746464439,-0.1413410841726834
BASELINE,JPX_ONLY,1~3%,2~3,BETWEEN_PREV_HIGH_LOW,,,823,1.6837473568517745,-1.9234323519007082,-0.27142467587446195
BASELINE,JPX_ONLY,UNKNOWN,<1,BELOW_PREV_LOW,,,1110,1.6119032595916787,-0.9798082964776147,0.25713249326422954
BASELINE,JPX_ONLY,>=5%,>=10,BETWEEN_PREV_HIGH_LOW,,,710,6.145212342170727,-4.003397575016273,1.095267502645657
BASELINE,JPX_ONLY,UNKNOWN,<1,ABOVE_PREV_HIGH,,,1560,1.717168477261346,-1.7010336309808798,-0.2689223922219371
BASELINE,JPX_ONLY,-3~-1%,3~5,BELOW_PREV_LOW,,,829,1.7888595037786221,-1.1625029609399895,0.26644919722343746
BASELINE,JPX_ONLY,1~3%,2~3,ABOVE_PREV_HIGH,,,511,1.1803907566319514,-1.5985824216497522,-0.4605578063499823
BASELINE,JPX_ONLY,3~5%,5~10,BETWEEN_PREV_HIGH_LOW,,,115,6.8528376190305496,-3.3285278290682228,1.0055588441738417
BASELINE,JPX_ONLY,3~5%,3~5,ABOVE_PREV_HIGH,,,133,3.6246077994458386,-2.9115687792587663,-0.16262058043674307
BASELINE,JPX_ONLY,-3~-1%,2~3,BETWEEN_PREV_HIGH_LOW,,,578,2.5476229431658317,-1.2779705898328328,0.5513326237430539
BASELINE,JPX_ONLY,UNKNOWN,1~2,ABOVE_PREV_HIGH,,,195,0.8155683452075972,-0.8500001072091518,-0.15958820299930868
BASELINE,JPX_ONLY,3~5%,2~3,BETWEEN_PREV_HIGH_LOW,,,79,3.0490440908220102,-3.873511313688329,0.16982152173165133
BASELINE,JPX_ONLY,UNKNOWN,2~3,ABOVE_PREV_HIGH,,,99,0.6772967214434887,-0.8846942001179121,-0.3178832637388672
BASELINE,JPX_ONLY,UNKNOWN,>=10,BETWEEN_PREV_HIGH_LOW,,,1881,1.1276439495478738,-0.8401013422318467,0.1633210956286585
BASELINE,JPX_ONLY,1~3%,1~2,BETWEEN_PREV_HIGH_LOW,,,285,1.3445671928274836,-2.0118124834334288,-0.4309092533632139
BASELINE,JPX_ONLY,UNKNOWN,5~10,BETWEEN_PREV_HIGH_LOW,,,643,0.6489589535497703,-0.5849069419297898,0.06876437866062331
BASELINE,JPX_ONLY,UNKNOWN,>=10,ABOVE_PREV_HIGH,,,611,1.0215928199298556,-1.3584240796009217,-0.38653876709939305
BASELINE,JPX_ONLY,-3~-1%,1~2,BETWEEN_PREV_HIGH_LOW,,,219,2.208752723307502,-0.9388981446550695,0.7107404187903761
BASELINE,JPX_ONLY,UNKNOWN,3~5,BETWEEN_PREV_HIGH_LOW,,,282,0.7305212858154903,-0.4983232397184774,0.17013597107101994
BASELINE,JPX_ONLY,UNKNOWN,5~10,ABOVE_PREV_HIGH,,,268,0.6764823905571254,-0.9453045933772083,-0.25585175177523073
BASELINE,JPX_ONLY,-5~-3%,2~3,BETWEEN_PREV_HIGH_LOW,,,73,5.012644710568582,-2.0775051015825596,1.6594035934738143
BASELINE,JPX_ONLY,3~5%,2~3,ABOVE_PREV_HIGH,,,57,3.4059517761737994,-3.3391129734870866,-1.4480907422483007
BASELINE,JPX_ONLY,UNKNOWN,>=10,BELOW_PREV_LOW,,,478,1.5589975228612423,-0.7215367646996362,0.5615360600013926
BASELINE,JPX_ONLY,1~3%,<1,ABOVE_PREV_HIGH,,,87,0.6885476173890053,-1.5056628777301464,-0.62796331514977
BASELINE,JPX_ONLY,0~1%,<1,BETWEEN_PREV_HIGH_LOW,,,717,0.48840141242324253,-0.35372369953444643,0.02443172200769512
BASELINE,JPX_ONLY,<-5%,>=10,BETWEEN_PREV_HIGH_LOW,,,393,7.112181851404869,-4.766894652323983,-0.04143529660674715
BASELINE,JPX_ONLY,UNKNOWN,5~10,BELOW_PREV_LOW,,,226,1.0197501898219044,-0.5243482993084976,0.42261235923629487
BASELINE,JPX_ONLY,1~3%,1~2,ABOVE_PREV_HIGH,,,220,1.0305471785742322,-1.6424581826994984,-0.6430789249385024
BASELINE,JPX_ONLY,<-5%,1~2,BETWEEN_PREV_HIGH_LOW,,,84,10.30793805478679,-0.30623360455293236,5.750147864118453
BASELINE,JPX_ONLY,-3~-1%,1~2,BELOW_PREV_LOW,,,150,1.8238927520728472,-0.6460812795474967,0.7909207922978923
BASELINE,JPX_ONLY,UNKNOWN,2~3,BELOW_PREV_LOW,,,73,1.1012834972490066,-0.4969943807247427,0.2741337486202131
BASELINE,JPX_ONLY,UNKNOWN,<1,BETWEEN_PREV_HIGH_LOW,,,957,0.8042502092682997,-0.6324487945313055,0.05806129865031954
BASELINE,JPX_ONLY,>=5%,3~5,ABOVE_PREV_HIGH,,,155,5.623141048167802,-5.7312864830449675,-0.9856022689564568
BASELINE,JPX_ONLY,UNKNOWN,2~3,BETWEEN_PREV_HIGH_LOW,,,167,0.5363541527775028,-0.4716600692590217,0.01909510632458526
BASELINE,JPX_ONLY,UNKNOWN,1~2,BETWEEN_PREV_HIGH_LOW,,,203,0.5771417074297863,-0.40285580888613154,0.16246546606465878
BASELINE,JPX_ONLY,3~5%,3~5,BETWEEN_PREV_HIGH_LOW,,,70,5.077687308662226,-3.1896562066559913,0.18850999953415948
BASELINE,JPX_ONLY,UNKNOWN,3~5,ABOVE_PREV_HIGH,,,133,0.8740429932638608,-0.850552124704985,-0.07907065005788227
BASELINE,JPX_ONLY,-1~0%,<1,BELOW_PREV_LOW,,,288,0.7851585086198036,-0.5302969752059482,0.10814405505061306
BASELINE,JPX_ONLY,-3~-1%,<1,BELOW_PREV_LOW,,,81,1.6480259435942424,-0.36951489680600835,1.0888632477113955
BASELINE,JPX_ONLY,UNKNOWN,1~2,BELOW_PREV_LOW,,,151,1.1471496106907892,-0.6068765903483401,0.34335037265109036
BASELINE,JPX_ONLY,-5~-3%,3~5,BELOW_PREV_LOW,,,125,3.592347027692616,-1.776723888508403,0.6835095705111239
BASELINE,JPX_ONLY,UNKNOWN,3~5,BELOW_PREV_LOW,,,109,1.1254609492303074,-0.38620818929608475,0.5716770996548417
BASELINE,JPX_ONLY,-5~-3%,2~3,BELOW_PREV_LOW,,,31,3.4399031048084,-2.0684158021364794,0.19060604537334164
BASELINE,JPX_ONLY,<-5%,5~10,BELOW_PREV_LOW,,,312,3.914715603892189,-2.41118957014635,0.27693723917965735
BASELINE,JPX_ONLY,3~5%,1~2,BETWEEN_PREV_HIGH_LOW,,,88,2.00800707193581,-3.8870266703313976,-1.1964333898004476
BASELINE,JPX_ONLY,>=5%,2~3,ABOVE_PREV_HIGH,,,50,8.796191266731554,-6.555821908386249,-1.2357194698587548
BASELINE,JPX_ONLY,-5~-3%,3~5,BETWEEN_PREV_HIGH_LOW,,,67,4.674117941231989,-2.8663702361866807,0.914247722746752
BASELINE,JPX_ONLY,-5~-3%,5~10,BETWEEN_PREV_HIGH_LOW,,,68,4.373251513678743,-4.0687931313997545,-0.13297797707149253
BASELINE,JPX_ONLY,>=5%,5~10,BETWEEN_PREV_HIGH_LOW,,,55,7.91999884957673,-3.7939807553446045,1.7800489170868496
N225_CONTEXT,JPX_PLUS_N225,,,,DIRECTION,UP_MIXED,175421,1.2633370538726172,-1.2355698723267023,-0.058119042037126124
N225_CONTEXT,JPX_PLUS_N225,,,,PERSISTENCE,MIXED,379848,1.2912822315129628,-1.221409442393379,-0.004256818079174277
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_5M,0.05~0.2%,167784,1.3574843264624896,-1.0775901053789252,0.09300418334374476
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_10M,0.2~0.5%,134967,1.4130133743318163,-1.0386061954346717,0.19705816672394735
N225_CONTEXT,JPX_PLUS_N225,,,,RANGE_10M,0.2~0.5%,499971,1.2341359203758886,-1.1589118419702629,-0.012139395976658732
N225_CONTEXT,JPX_PLUS_N225,,,,NIGHT_RETURN,0.5~1%,106017,1.1580935994082908,-1.1873193486959437,-0.11399968266371593
N225_CONTEXT,JPX_PLUS_N225,,,,DIRECTION,DOWN,135125,1.1713645732152673,-1.3207788679854893,-0.15471962394841157
N225_CONTEXT,JPX_PLUS_N225,,,,PERSISTENCE,DOWN_PERSISTENT,135125,1.1713645732152673,-1.3207788679854893,-0.15471962394841157
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_5M,-0.2~-0.05%,178763,1.1899478195465025,-1.222723248148042,-0.09429909084157857
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_10M,-0.2~0%,160737,1.2896761887198045,-1.2045708681027032,0.003791147610228664
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_5M,-0.05~0.05%,153559,1.2172858014819607,-1.2847865185183276,-0.10809457031079636
N225_CONTEXT,JPX_PLUS_N225,,,,NIGHT_RETURN,-1~-0.5%,69239,1.3257644815146028,-1.0497584560001463,0.13531210823156004
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_10M,0~0.2%,171647,1.273448565975289,-1.1359306780449516,-0.005834737897571419
