DATE,DECISION_TIME,LATEST_ALLOWED_BAR,N225_LAST_CLOSE,N225_RETURN_1M_PCT,N225_RETURN_5M_PCT,N225_RETURN_10M_PCT,N225_HIGH_10M,N225_LOW_10M,N225_RANGE_10M_PCT,N225_VOLUME_5M,N225_VOLUME_10M,N225_DIRECTION,N225_PERSISTENCE,N225_NIGHT_OPEN,N225_NIGHT_HIGH,N225_NIGHT_LOW,N225_NIGHT_CLOSE,N225_NIGHT_RETURN_PCT,N225_NIGHT_RANGE_PCT,PIT_BAR_COUNT,NIGHT_BAR_COUNT,POINT_IN_TIME_STATUS,DATA_STATUS
2025-01-03,09:10:00,09:09:00,39350.000000,0.025419,0.101755,-0.025407,39360.000000,39280.000000,0.203666,54.000000,272.000000,UP_MIXED,MIXED,39930.000000,39990.000000,39280.000000,39530.000000,-1.001753,1.807536,386,780,PASS,09:09_OR_EARLIER_ONLY
2025-01-06,09:10:00,09:09:00,39980.000000,0.000000,0.125219,0.351406,40010.000000,39850.000000,0.401506,1551.000000,4106.000000,UP_MIXED,MIXED,39330.000000,39640.000000,39270.000000,39590.000000,0.661073,0.942195,386,780,PASS,09:09_OR_EARLIER_ONLY
2025-01-07,09:10:00,09:09:00,39640.000000,-0.050429,-0.176278,-0.151134,39800.000000,39630.000000,0.428968,677.000000,2092.000000,DOWN,DOWN_PERSISTENT,39360.000000,39850.000000,39340.000000,39630.000000,0.685976,1.296390,386,780,PASS,09:09_OR_EARLIER_ONLY
2025-01-08,09:10:00,09:09:00,39830.000000,0.050239,0.025113,-0.025100,39880.000000,39770.000000,0.276590,487.000000,1224.000000,UP_MIXED,MIXED,40000.000000,40210.000000,39650.000000,39750.000000,-0.625000,1.412358,386,780,PASS,09:09_OR_EARLIER_ONLY
2025-01-09,09:10:00,09:09:00,39900.000000,-0.025056,0.100351,0.125471,39930.000000,39820.000000,0.276243,677.000000,1588.000000,UP_MIXED,MIXED,39960.000000,40060.000000,39720.000000,39970.000000,0.025025,0.855992,386,780,PASS,09:09_OR_EARLIER_ONLY
2025-01-10,09:10:00,09:09:00,39380.000000,-0.050761,0.076239,0.101678,39460.000000,39250.000000,0.535032,773.000000,2692.000000,UP_MIXED,MIXED,39480.000000,39610.000000,39420.000000,39530.000000,0.126646,0.481989,386,780,PASS,09:09_OR_EARLIER_ONLY
2025-01-14,09:10:00,09:09:00,38970.000000,-0.076923,-0.051295,0.051348,39040.000000,38850.000000,0.489060,1198.000000,3972.000000,DOWN_MIXED,MIXED,39280.000000,39330.000000,38630.000000,38790.000000,-1.247454,1.812063,386,780,PASS,09:09_OR_EARLIER_ONLY
2025-01-15,09:10:00,09:09:00,38690.000000,0.051720,-0.129066,-0.232078,38810.000000,38640.000000,0.439959,896.000000,1934.000000,DOWN_MIXED,MIXED,38540.000000,38820.000000,38470.000000,38670.000000,0.337312,0.909800,386,780,PASS,09:09_OR_EARLIER_ONLY
2025-01-16,09:10:00,09:09:00,38690.000000,0.051720,0.000000,-0.180599,38770.000000,38650.000000,0.310479,792.000000,1612.000000,FLAT_MIXED,MIXED,38330.000000,38840.000000,38230.000000,38790.000000,1.200104,1.595606,386,780,PASS,09:09_OR_EARLIER_ONLY
2025-01-17,09:10:00,09:09:00,38400.000000,-0.078064,-0.233827,-0.207900,38510.000000,38380.000000,0.338718,743.000000,1593.000000,DOWN,DOWN_PERSISTENT,38780.000000,38780.000000,38360.000000,38380.000000,-1.031460,1.094891,386,780,PASS,09:09_OR_EARLIER_ONLY
