DATE,DECISION_TIME,STATUS,REASON
2025-01-03,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-06,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-07,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-08,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-09,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-10,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-14,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-15,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-16,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-17,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-20,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-21,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-22,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-23,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-24,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-27,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-28,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-29,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-30,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-01-31,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-03,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-04,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-05,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-06,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-07,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-10,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-11,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-12,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-13,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-14,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-17,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-18,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-19,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-20,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-21,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-24,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-25,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-26,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-27,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-02-28,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-03,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-04,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-05,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-06,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-07,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-10,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-11,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-12,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-13,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-14,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-17,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-18,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-19,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-20,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-21,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-24,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-25,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-26,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-27,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-03-28,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
